Feature,Values
Pitch,56,55,58,56
Intensity,13,48,37,9
Duration,6.610416666666667,3.205208333333333,2.6083333333333334,0.9119791666666667
Pitch Entropy,1.5
Intensity Entropy,2.0
Duration Entropy,2.0
