time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
3.399349,70,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.999443,87,0.000000,0.000000,0.000000,1.618738,1.618738,0.000000,0.000000,0.062259,0.062259,0.000000,0.249037,0.249037
4.549751,88,0.000000,0.249037,0.000000,2.088647,2.088647,0.000000,1.618738,0.062259,0.062259,0.000000,0.389614,0.327355
5.249627,98,0.000000,0.057339,1.626855,1.689514,0.408534,0.000000,0.406605,0.062501,0.000000,0.250285,0.250002,0.057339
5.798993,38,0.000000,0.000000,2.089095,0.470713,0.064777,0.000000,0.127036,1.618738,0.000000,0.327430,0.078452,0.062259
6.299036,25,0.000000,1.634393,0.622763,0.098477,0.000000,0.062861,0.000000,0.524361,0.251445,0.087394,0.000000,0.000000
7.048647,37,1.622217,1.877056,0.071974,0.000000,0.249572,0.062393,0.000000,0.321546,0.313282,1.622217,0.000000,0.000000
7.599071,73,0.470358,2.153872,0.249037,0.000000,0.078393,0.062259,0.000000,1.618738,0.327430,0.470358,0.000000,0.062259
8.098798,85,0.098402,2.082370,0.087394,0.000000,0.251445,0.062861,0.000000,0.524361,0.338839,1.732795,0.000000,0.000000
8.748608,83,0.000000,0.510869,1.629175,0.125321,0.070335,0.000000,0.501285,0.088857,0.070335,0.422012,0.000000,3.258350
9.299805,59,0.000000,0.071513,0.471253,0.062259,0.000000,0.000000,0.406121,0.000000,0.000000,0.078542,0.000000,2.436726
10.049370,26,0.000000,0.000000,1.623763,0.000000,0.000000,0.000000,0.114057,0.000000,0.000000,0.249810,0.000000,0.426062
10.598980,95,0.000000,0.000000,0.719991,1.680997,0.000000,0.000000,0.249037,1.680997,0.000000,0.078492,0.249037,1.680997
11.249392,46,0.062393,0.000000,0.197929,0.504411,0.000000,0.249572,0.063710,0.382259,1.622217,0.000000,1.622217,0.382259
11.999210,76,1.626855,1.626855,0.000000,0.109727,1.877141,0.062571,0.000000,0.302755,0.656401,1.626855,0.343544,0.250285
12.549637,28,0.470955,0.470955,0.000000,0.062259,2.089693,0.000000,0.249037,0.078492,0.136709,1.651204,0.058216,1.821749
13.101109,27,0.098527,0.098527,0.062861,1.634393,0.622888,0.251445,0.087394,0.062861,0.000000,0.524361,1.760116,0.611755
13.748796,53,0.249572,0.000000,0.000000,2.004476,1.694191,1.685927,0.000000,0.062393,0.062393,0.134367,0.695541,0.321546
14.248912,87,0.096966,0.000000,0.000000,2.281561,2.068788,0.581794,0.000000,0.061958,0.061958,0.000000,0.433655,0.344798
14.798946,98,0.000000,0.000000,1.634393,0.622951,0.622951,0.098590,0.062861,0.000000,0.000000,0.251445,0.087394,0.087394
15.351507,74,0.000000,0.000000,2.033032,1.634393,0.098730,0.000000,0.062861,0.062861,0.000000,0.338839,0.251445,0.000000
15.849261,90,0.251445,0.251445,0.685552,0.521002,0.000000,1.634393,1.634393,0.000000,0.000000,0.149695,0.149695,0.000000
16.399155,28,0.086834,0.149695,1.797889,0.163496,1.634393,0.521002,0.583863,0.000000,0.062861,1.760116,0.000000,0.251445
16.949291,38,0.062861,0.000000,1.983968,0.251445,0.524361,0.098098,0.160959,0.000000,1.634393,0.863200,0.000000,0.087394
17.499601,67,0.000000,0.000000,0.809819,0.078654,0.088857,0.000000,0.000000,1.618738,0.471925,0.167511,0.000000,0.062259
17.999079,38,0.000000,0.000000,1.708014,0.000000,0.000000,0.247832,0.061958,0.582624,0.164550,0.247832,1.610910,0.000000
18.749887,100,0.249810,0.000000,0.307647,0.000000,1.623763,1.623763,0.000000,0.064777,0.000000,0.062452,1.625014,0.249810
19.299088,44,0.140752,0.249037,0.057926,0.249037,2.089693,0.470955,1.618738,0.000000,1.618738,0.000000,0.532972,0.327529
19.998631,45,0.250285,1.689427,0.000000,0.057339,0.658963,1.626855,0.344033,0.000000,0.364963,1.626855,0.064610,0.057339
20.549454,43,0.078393,0.470358,0.249037,1.618738,0.143170,0.470358,0.064777,1.618738,0.078393,0.470358,0.249037,0.062259
21.349663,43,1.625825,0.052295,0.250001,0.278667,1.688356,0.052295,0.000000,1.625006,0.062532,0.052295,0.000000,0.312627
21.948990,47,0.423501,0.000000,0.312661,0.062661,0.423501,0.250642,0.250642,1.625000,0.000000,0.000000,1.629175,1.629175
22.699663,38,0.052317,0.000000,1.623763,0.000000,0.052317,0.051385,0.062452,0.308837,0.000000,0.249810,0.308308,0.308308
23.248978,97,0.000000,1.680997,1.651204,0.000000,0.249037,0.062259,0.062259,0.058150,0.249037,1.821749,0.058050,0.058050
23.899055,61,0.000000,2.053908,0.675375,0.062661,0.321431,0.062661,0.250642,1.629175,0.321431,2.053908,0.000000,1.629175
24.499273,85,0.000000,2.089991,0.212776,0.000000,0.078542,0.311296,0.078542,0.471253,0.327579,0.543228,1.618738,0.471253
25.098759,26,1.629175,0.557451,1.629175,0.000000,0.313303,0.070486,0.062661,0.250642,0.070486,1.754496,0.422919,0.071872
25.801277,62,1.855227,0.120621,1.969420,0.000000,0.369950,0.000000,0.062571,0.307379,0.000000,2.105512,0.058050,0.000000
26.449644,85,2.110548,1.691835,0.481372,0.000000,0.383856,0.062661,0.000000,0.321196,0.250642,2.039989,0.000000,0.000000
26.999535,47,0.603321,0.775060,0.079706,0.062861,0.087269,0.000000,1.760116,0.087269,0.087269,0.603320,0.062861,1.634393
27.699791,98,0.071872,0.135582,1.871789,0.000000,1.622217,0.000000,0.508362,1.622217,0.062393,0.321443,0.000000,0.444652
28.299124,97,1.618738,1.867774,0.797787,0.000000,0.532617,0.062259,1.618738,1.743256,0.249037,0.078393,0.062259,0.140652
28.899075,85,2.052094,1.777974,0.142222,0.000000,0.385038,0.062661,0.422919,0.744047,0.321129,1.629175,0.000000,0.000000
