time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
2.698976,46,0.433841,0.344308,0.341156,0.711440,0.795625,0.452613,0.377467,0.387416,0.409836,0.463929,0.458769,0.439286,
6.799482,53,0.365429,0.257343,0.292351,0.551436,0.653830,0.597666,0.391693,0.375791,0.544166,0.380282,0.546670,0.466926,
7.599547,53,0.342518,0.098906,0.124223,0.310110,0.448435,0.864091,0.180445,0.105859,0.111240,0.126827,0.143511,0.198115,
9.049036,62,0.039498,0.009351,0.982187,0.128914,0.013614,0.013808,0.095353,0.004731,0.014715,0.202150,0.017740,0.011856,
9.949526,63,0.413483,0.190649,0.289619,0.341936,0.509867,0.345774,0.322899,0.279398,0.465679,0.607264,0.570462,0.305262,
12.100266,56,0.000571,0.000215,0.000327,0.001979,0.000618,0.000413,0.000459,0.084074,0.999423,0.101702,0.000670,0.000365,
14.598744,57,0.474745,0.283437,0.292631,0.605466,0.564401,0.550605,0.607862,0.516517,0.358072,0.389773,0.378552,0.596892,
16.397970,48,0.975030,0.077454,0.115624,0.049312,0.836584,0.020768,0.033613,0.973297,0.054677,0.021510,0.050329,0.120803,
19.248760,49,0.540245,0.462382,0.453502,0.606254,0.767946,0.558397,0.297269,0.277763,0.319561,0.355851,0.620023,0.725444,
19.848751,48,0.453928,0.347735,0.367525,0.487239,0.384032,0.234766,0.163102,0.319460,0.287174,0.431408,0.286273,0.289231,
20.599239,50,0.148523,0.138340,0.856872,0.133561,0.202070,0.101794,0.275271,0.158739,0.138790,0.915898,0.118715,0.099535,
22.248037,49,0.360064,0.678253,0.667769,0.559027,0.449996,0.391041,0.354604,0.237767,0.421026,0.358866,0.321517,0.240963,
23.698231,52,0.029996,0.023585,0.062714,0.062389,0.980077,0.196515,0.051691,0.023151,0.130052,0.031034,0.036826,0.163810,
24.750946,51,0.004708,0.012739,0.023414,0.964016,0.096202,0.036609,0.007173,0.039996,0.012266,0.019104,0.492670,0.025184,
25.448090,52,0.458402,0.437839,0.410650,0.650124,0.619939,0.401203,0.255038,0.286630,0.280348,0.281520,0.485619,0.411209,
25.999228,57,0.365843,0.199262,0.216990,0.396905,0.421172,0.465083,0.189660,0.266732,0.353972,0.389351,0.366715,0.190108,
26.598381,63,0.172812,0.130331,0.113723,0.778324,0.159075,0.192071,0.060589,0.137078,0.116491,0.120275,0.215192,0.132262,
27.099976,57,0.072482,0.291889,0.131931,0.217993,0.100916,0.069688,0.046302,0.068472,0.221165,0.603114,0.089904,0.070249,
29.148045,55,0.001472,0.003045,0.077182,0.005900,0.002706,0.004105,0.097864,0.996721,0.119608,0.005635,0.001122,0.012760,
31.098791,55,0.171194,0.260402,0.300543,0.358362,0.706743,0.785630,0.496934,0.425403,0.339380,0.303392,0.283094,0.212977,
32.998749,53,0.104227,0.009311,0.023602,0.037177,0.153723,0.998101,0.133803,0.008813,0.004050,0.016635,0.011816,0.008287,
35.498653,66,0.003170,0.415523,0.004310,0.004985,0.062162,0.019027,0.999656,0.032564,0.007566,0.000951,0.084905,0.001851,
36.400993,67,0.284319,0.248685,0.294771,0.580340,0.818519,0.430968,0.399282,0.305662,0.224330,0.289355,0.451508,0.291420,
37.199326,62,0.041870,0.052147,0.874263,0.085712,0.182212,0.043676,0.217616,0.049224,0.066401,0.265252,0.045885,0.035356,
38.298225,63,0.264721,0.489424,0.432534,0.714175,0.345757,0.233380,0.350151,0.309287,0.203577,0.255463,0.225311,0.239124,
