MIDI Value,Occurrences
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,2
45,6
46,11
47,11
48,12
49,13
50,14
51,16
52,16
53,17
54,17
55,18
56,18
57,18
58,18
59,18
60,18
61,18
62,18
63,17
64,17
65,17
66,17
67,17
68,16
69,16
70,15
71,14
72,13
73,11
74,11
75,11
76,7
77,4
78,3
79,3
80,3
81,2
82,2
83,1
84,1
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
