File Name,Lowest MIDI,Lowest Note,Highest MIDI,Highest Note,Note Difference,Average MIDI Pitch,Average Note Pitch,Pitch Std Dev,Lowest Velocity,Highest Velocity,Velocity Range,Average Velocity,Velocity Std Dev,Pitch Entropy,Intensity Entropy,Duration Entropy,Note Density,Average Note Distance,Note Time Std Dev,Average Duration,Duration Std Dev
impro03-01-audioinfluencer.mid,44,G#2,74,D5,30,54.57333333333333,G3,7.714143435829143,38,96,58,70.08666666666667,11.796334697873343,4.321084504995067,5.22101495933028,5.900341027599035,2.286558038696611,0.4402737181208053,0.49157796943939575,0.43733855999999993,0.49157796943939575
impro03-02-audioinfluencer.mid,44,G#2,67,G4,23,53.609756097560975,F#3,6.065797757840628,12,78,66,62.951219512195124,13.181333808670873,3.643389201264574,4.277926089825635,4.72340566315467,0.689657956567024,1.486244,0.5637912863458557,1.4499941463414634,0.5637912863458557
impro03-03-audioinfluencer.mid,44,G#2,86,D6,42,56.12820512820513,G#3,8.203803219720992,15,92,77,73.25641025641026,13.339824900723505,3.976844405752271,5.105797119159667,6.154207027772962,1.933894430488173,0.5215489913793103,0.4257623521555003,0.5170913076923077,0.4257623521555003
impro03-04-audioinfluencer.mid,44,G#2,70,A#4,26,56.55172413793103,A3,7.413057265921274,4,76,72,50.87931034482759,20.558924801402327,4.1613667193705375,5.10609064212004,5.185230132909402,0.959484033160033,1.0605115087719297,1.139552371764406,1.0422268275862068,1.139552371764406
impro03-05-audioinfluencer.mid,44,G#2,85,C#6,41,54.60843373493976,G3,8.663944161929766,16,90,74,64.76506024096386,14.209223924683698,3.559903600048765,5.163716350139496,6.575231262849884,2.746070224625236,0.36636375757575756,0.3567113029114575,0.36415674698795175,0.3567113029114575
impro03-06-audioinfluencer.mid,44,G#2,87,D#6,43,52.948113207547166,F3,7.014010773733011,40,99,59,70.26415094339623,9.083396536572385,3.794387147370286,4.933277575771933,5.767172767458692,3.7290456438177073,0.26943605213270144,0.4592900351972925,0.2681651273584906,0.4592900351972925
impro03-07-audioinfluencer.mid,44,G#2,88,E6,44,69.80851063829788,A#4,16.46193170947482,7,69,62,35.51063829787234,15.010924108759847,2.7517929120135642,5.226577282137434,6.033104277117483,1.4710421364840092,0.6870997526881721,0.7806665688660948,0.6797901808510639,0.7806665688660948
impro03-08-audioinfluencer.mid,46,A#2,82,A#5,36,59.50292397660819,C4,5.545930430617145,16,91,75,70.0233918128655,11.079367796985249,3.250927433319043,4.716199960354375,6.246542904325441,2.8125370070658824,0.35764235294117647,0.281096374353412,0.35555087719298245,0.281096374353412
impro03-09-audioinfluencer.mid,44,G#2,74,D5,30,57.86131386861314,A#3,8.049646029623458,36,85,49,67.30656934306569,9.766812084355472,4.409740692148419,4.924618938835957,5.5301275224118065,2.762099948380989,0.3647054632352941,0.6113903058399865,0.3620433795620438,0.6113903058399865
impro03-10-audioinfluencer.mid,44,G#2,76,E5,32,57.54716981132076,A#3,7.036140819229838,28,76,48,58.924528301886795,9.40283454041543,4.291838019144001,4.866537592880506,5.5567981386441625,2.453730967381119,0.411424,0.36179450953930786,0.407542641509434,0.36179450953930786
impro03-11-audioinfluencer.mid,44,G#2,82,A#5,38,55.291666666666664,G3,7.440397257123073,22,88,66,60.755208333333336,11.425033319155116,4.453307713090032,5.170656973022528,6.058680797880832,3.8246293500900967,0.2628321623036649,0.36922748913848386,0.26146324479166666,0.36922748913848386
impro03-12-audioinfluencer.mid,46,A#2,68,G#4,22,56.69375,A3,6.053219814758602,8,78,70,56.7625,14.76332677989832,3.0076398317478263,5.0642126633553035,6.490878801695315,2.8880584918486356,0.3484310691823899,0.32323671938329657,0.346253375,0.32323671938329657
impro03-13-audioinfluencer.mid,44,G#2,74,D5,30,57.154761904761905,A3,6.625109281880821,7,75,68,62.458333333333336,10.013675778394784,4.10055577405377,4.64172369347466,5.869065471332728,3.8443569965100566,0.26167913772455087,0.32373840377347,0.2601215238095238,0.32373840377347
impro03-14-audioinfluencer.mid,44,G#2,83,B5,39,55.64835164835165,G#3,7.566554516604453,4,88,84,59.53846153846154,15.37697246050997,4.207900070658163,5.333420778213883,5.806976645574333,2.01770194214233,0.5011201555555556,0.6287360969279865,0.49561334065934065,0.6287360969279865
impro03-15-audioinfluencer.mid,43,G2,74,D5,31,66.33333333333333,F#4,8.823811484999382,4,77,73,42.0,17.512401620746246,3.050568488193748,4.875145808605837,5.0289919624519905,0.6759077232751979,1.518425894736842,1.6188707751177243,1.4794918974358975,1.6188707751177243
impro03-16-audioinfluencer.mid,44,G#2,73,C#5,29,59.07272727272727,B3,6.189231682852082,24,84,60,60.345454545454544,12.917122100896723,4.23482187559443,5.115926845221212,5.519475568180878,2.9332628568044274,0.3440449633027523,0.24815180044697044,0.3409172818181818,0.24815180044697044
impro03-17-audioinfluencer.mid,45,A2,73,C#5,28,54.28888888888889,F#3,6.191983363706024,6,88,82,52.42777777777778,20.306597038950095,3.608257600668517,5.7569565389673345,5.841356148560823,2.9149715904439653,0.34497303351955305,0.4538983401995778,0.34305651666666664,0.4538983401995778
impro03-18-audioinfluencer.mid,45,A2,70,A#4,25,56.61290322580645,A3,5.795291584369011,17,75,58,48.75806451612903,13.386665109349222,2.896032120891794,4.99799933433616,5.889680181354614,1.224076647889002,0.8303348032786885,0.8849487509070602,0.8169423064516128,0.8849487509070602
