ambitus
File Name;Lowest Note;Lowest MIDI;Highest Note;Highest MIDI;Ambitus (Note Difference);Corpus;Output
impro03-01-audioinfluencer.csv;G#2;44;D5;74;30;O;DK
impro03-02-audioinfluencer.csv;G#2;44;G#4;68;24;RV;PT
impro03-03-audioinfluencer.csv;G#2;44;C#6;85;41;RO;PT
impro03-04-audioinfluencer.csv;G#2;44;A#4;70;26;RO;DK
impro03-05-audioinfluencer.csv;G#2;44;D6;86;42;O;PT
impro03-06-audioinfluencer.csv;G#2;44;D#6;87;43;RV;PT
impro03-07-audioinfluencer.csv;G#2;44;E6;88;44;O;DK
impro03-08-audioinfluencer.csv;A#2;46;A#4;70;24;RV;PT
impro03-09-audioinfluencer.csv;G#2;44;D#5;75;31;O;DK
impro03-10-audioinfluencer.csv;G#2;44;E5;76;32;O;PT
impro03-11-audioinfluencer.csv;G#2;44;B5;83;39;RO;PT
impro03-12-audioinfluencer.csv;A#2;46;F#4;66;20;O;PT
impro03-13-audioinfluencer.csv;G#2;44;G#4;68;24;RO;PT
impro03-14-audioinfluencer.csv;G#2;44;B5;83;39;RV;DK
impro03-15-audioinfluencer.csv;G2;43;D5;74;31;RV;DK
impro03-16-audioinfluencer.csv;A#2;46;A#4;70;24;RO;DK
impro03-17-audioinfluencer.csv;A2;45;C#5;73;28;RV;DK
impro03-18-audioinfluencer.csv;A2;45;G4;67;22;RO;DK
