File Name,Average Pitch (Note),Average Pitch (MIDI)
impro03-01-audioinfluencer.csv,B3,59
impro03-02-audioinfluencer.csv,G#3,56
impro03-03-audioinfluencer.csv,E4,64
impro03-04-audioinfluencer.csv,A3,57
impro03-05-audioinfluencer.csv,F4,65
impro03-06-audioinfluencer.csv,F#4,66
impro03-07-audioinfluencer.csv,F#4,66
impro03-08-audioinfluencer.csv,A#3,58
impro03-09-audioinfluencer.csv,C4,60
impro03-10-audioinfluencer.csv,C4,60
impro03-11-audioinfluencer.csv,E4,64
impro03-12-audioinfluencer.csv,G#3,56
impro03-13-audioinfluencer.csv,G#3,56
impro03-14-audioinfluencer.csv,E4,64
impro03-15-audioinfluencer.csv,A#3,58
impro03-16-audioinfluencer.csv,A#3,58
impro03-17-audioinfluencer.csv,B3,59
impro03-18-audioinfluencer.csv,G#3,56
