standard_deviations
File Name;Pitch Standard Deviation;Corpus;Output
impro02-01-audioinfluencer.csv;24.748737341529164;RV;DK
impro02-02-audioinfluencer.csv;12.020815280171307;RO;PT
impro02-03-audioinfluencer.csv;10.606601717798213;RO;PT
impro02-04-audioinfluencer.csv;27.577164466275352;RV;DK
impro02-05-audioinfluencer.csv;21.920310216782973;RV;PT
impro02-06-audioinfluencer.csv;10.606601717798213;O;PT
impro02-07-audioinfluencer.csv;9.899494936611665;O;DK
impro02-08-audioinfluencer.csv;14.849242404917497;RO;DK
impro02-09-audioinfluencer.csv;13.435028842544403;O;PT
impro02-10-audioinfluencer.csv;13.435028842544403;O;PT
impro02-11-audioinfluencer.csv;12.727922061357855;RO;DK
impro02-12-audioinfluencer.csv;14.142135623730951;RV;DK
impro02-13-audioinfluencer.csv;12.727922061357855;O;DK
impro02-14-audioinfluencer.csv;18.384776310850235;RO;DK
impro02-15-audioinfluencer.csv;9.192388155425117;O;DK
impro02-16-audioinfluencer.csv;21.920310216782973;RV;PT
impro02-17-audioinfluencer.csv;10.606601717798213;RO;PT
impro02-18-audioinfluencer.csv;8.48528137423857;RV;PT
