Duration (s),Frequency
0.2505208333333333,1
0.4906250000000001,1
0.07447916666666687,2
0.1708333333333334,2
0.4375,1
0.20781250000000018,2
0.21354166666666652,1
0.10104166666666625,2
0.05885416666666643,8
0.036979166666666785,4
0.12812499999999982,1
0.09062500000000018,1
0.16041666666666643,1
0.07968750000000036,1
0.09635416666666696,2
0.09010416666666643,2
0.05364583333333339,1
0.1494791666666666,1
0.15468749999999964,1
0.9489583333333336,1
0.27760416666666643,1
0.4052083333333334,1
0.07447916666666643,7
0.026562499999999822,1
0.037499999999999645,1
0.30416666666666625,1
0.08541666666666625,1
0.04270833333333357,12
0.02708333333333357,1
0.06406250000000036,2
0.1385416666666659,1
0.1015625,8
0.09583333333333321,3
0.13333333333333286,6
0.203125,2
0.053645833333332504,3
0.03177083333333286,16
0.09062499999999929,7
0.1437500000000007,4
0.11770833333333286,5
0.28281250000000036,3
0.15416666666666679,1
0.1281250000000007,5
0.2296875000000007,2
0.05833333333333357,7
0.2666666666666675,2
0.1864583333333325,1
0.08020833333333321,2
0.2078124999999993,1
0.17604166666666643,5
0.14895833333333286,5
0.16562500000000036,2
0.10677083333333393,4
0.0692708333333325,2
0.30416666666666714,2
0.1171875,10
0.27187499999999964,1
0.3463541666666661,1
0.2989583333333332,1
0.11197916666666607,1
0.9171875000000007,1
0.10677083333333215,7
0.10624999999999929,3
0.2666666666666657,3
0.17083333333333428,1
0.25052083333333286,2
0.06927083333333428,13
0.2828124999999986,4
0.29322916666666643,2
0.06406249999999858,13
0.04791666666666572,19
0.20260416666666714,3
0.05312500000000142,6
0.12239583333333215,3
0.1921874999999993,1
0.10104166666666714,4
0.03750000000000142,12
0.22916666666666785,2
0.09635416666666785,1
0.31979166666666714,1
0.08020833333333499,4
0.02656250000000071,4
0.03229166666666572,11
0.15989583333333357,2
0.07968749999999858,3
0.18645833333333428,5
0.3734375000000014,1
0.16562499999999858,2
0.12291666666666501,2
0.04322916666666643,1
0.197395833333335,2
0.19166666666666643,1
0.2453125000000007,2
0.20833333333333215,1
0.3781250000000007,1
0.2510416666666657,1
0.15468750000000142,3
0.08541666666666714,6
0.21354166666666785,1
0.26145833333333357,1
0.138541666666665,1
0.09583333333333499,1
0.11197916666666785,2
0.14947916666666572,4
0.16510416666666572,3
0.33072916666666785,1
0.224479166666665,1
0.34635416666666785,1
0.04270833333333002,10
0.29322916666667,1
0.15989583333333002,5
0.34166666666666856,1
0.015625,1
0.0963541666666643,3
0.42656250000000284,1
0.19739583333333144,3
0.17604166666666998,1
0.026562499999997158,5
0.2984374999999986,1
0.0859375,1
0.43177083333333144,1
0.12812499999999716,6
0.2718750000000014,1
0.09062500000000284,11
0.09583333333333144,12
0.13906250000000142,2
0.07447916666666998,4
0.24010416666666856,2
0.1067708333333357,5
0.05885416666666998,7
0.20781250000000284,2
0.03697916666666856,7
0.05833333333333002,1
0.08020833333333144,5
0.04322916666666998,1
0.27760416666667,1
0.06979166666666714,1
0.2239583333333357,2
0.2135416666666643,3
0.2083333333333357,1
0.05364583333333428,2
0.21822916666666714,1
0.3895833333333343,1
0.2291666666666643,1
0.02135416666666856,1
0.04739583333333286,1
0.71458333333333,1
0.07500000000000284,2
0.21875,1
0.22343750000000284,2
0.3307291666666643,1
0.19166666666666998,1
0.0911458333333357,3
0.2562500000000014,3
0.0364583333333357,1
0.1822916666666643,1
0.12291666666666856,3
0.14374999999999716,2
0.2880208333333343,1
0.1119791666666643,2
0.1223958333333357,1
0.24531249999999716,1
0.18697916666666714,1
0.30937500000000284,2
0.17031250000000142,2
0.13854166666666856,1
0.11145833333333144,4
0.2395833333333357,1
0.14427083333333002,2
0.45885416666666856,1
0.3359375,1
0.27708333333333,1
0.32500000000000284,1
0.15520833333333428,1
0.26145833333333,3
0.3838541666666657,1
0.48489583333333286,1
0.3203125,1
0.41614583333333144,1
0.23489583333333286,1
