time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
4.648544,53,0.098444,0.051942,0.142806,0.393491,0.563599,0.675042,0.550721,0.338818,0.371013,0.356452,0.289000,0.182135,
5.348012,71,0.039007,0.102641,0.195017,0.298832,0.227937,0.138859,0.098942,0.240250,0.272391,0.181037,0.555721,0.320101,
6.648242,76,0.177921,0.028952,0.572539,0.030048,0.584161,0.101447,0.071115,0.030807,0.281284,0.117235,0.061681,0.739573,
7.299080,72,0.856142,0.097154,0.106476,0.056864,0.144946,0.033485,0.014058,0.073433,0.049042,0.025206,0.049951,0.132174,
8.499055,75,0.021599,0.006197,0.004037,0.979543,0.359257,0.004821,0.001383,0.025310,0.002638,0.001754,0.249603,0.069139,
10.048164,79,0.201858,0.054161,0.426218,0.333211,0.376911,0.281418,0.102877,0.602068,0.069407,0.092727,0.082245,0.264340,
10.648465,71,0.106919,0.233026,0.137476,0.723190,0.064441,0.085985,0.051700,0.111509,0.163518,0.099756,0.146145,0.477963,
11.349165,65,0.050781,0.039245,0.031363,0.154376,0.020526,0.540646,0.227359,0.035916,0.269472,0.218667,0.047460,0.106151,
12.249096,63,0.033393,0.012682,0.079314,0.932489,0.256642,0.049652,0.021974,0.060674,0.017342,0.036857,0.082030,0.020663,
15.197948,64,0.350524,0.249433,0.184621,0.620522,0.701854,0.559197,0.521633,0.389966,0.439469,0.532881,0.508133,0.541580,
15.749214,73,0.229746,0.234340,0.350413,0.609639,0.180858,0.332349,0.287320,0.139655,0.257991,0.194225,0.267221,0.396394,
17.749182,73,0.124470,0.181791,0.118279,0.204224,0.273490,0.285460,0.161611,0.480645,0.883211,0.295477,0.118673,0.090037,
18.647791,64,0.020311,0.019750,0.039421,0.422345,0.957960,0.036891,0.017132,0.039852,0.073412,0.029167,0.023414,0.043675,
19.198328,65,0.072423,0.021602,0.104587,0.203961,0.222104,0.804068,0.171529,0.063417,0.033806,0.259078,0.032528,0.323124,
19.797812,61,0.044869,0.575750,0.396512,0.223593,0.134684,0.168172,0.047864,0.031640,0.048486,0.076441,0.036225,0.085184,
20.448696,57,0.020210,0.096875,0.113510,0.091810,0.044279,0.031802,0.021303,0.064224,0.214301,0.811640,0.148002,0.047722,
21.098753,58,0.007236,0.012444,0.020257,0.015422,0.006248,0.016968,0.005787,0.012197,0.042325,0.142856,0.884003,0.314131,
21.749125,65,0.011387,0.004098,0.005600,0.011360,0.017082,0.786768,0.410975,0.008633,0.008414,0.046301,0.177623,0.124942,
24.048000,66,0.283656,0.301578,0.411385,0.669593,0.718332,0.603310,0.491287,0.406785,0.280492,0.318763,0.246770,0.255206,
24.698549,68,0.048111,0.040265,0.067189,0.092271,0.098299,0.100312,0.064400,0.053338,0.503042,0.258640,0.478018,0.082376,
25.748028,70,0.136977,0.113422,0.119322,0.300277,0.316458,0.141443,0.150210,0.133191,0.196579,0.254151,0.741038,0.445683,
27.198364,70,0.028923,0.002295,0.175130,0.013400,0.015779,0.074117,0.019236,0.011222,0.099529,0.006636,0.969524,0.082209,
28.398222,71,0.171643,0.204164,0.402462,0.497261,0.733526,0.655733,0.345400,0.229600,0.237779,0.402779,0.410832,0.320916,
29.799112,68,0.050901,0.003697,0.024987,0.052947,0.026368,0.008106,0.008242,0.005032,0.974170,0.172463,0.027972,0.005937,
30.648329,68,0.037393,0.008001,0.012670,0.041448,0.014326,0.017700,0.033191,0.066719,0.987509,0.413905,0.026742,0.005909,
31.448370,68,0.054265,0.005308,0.014476,0.076549,0.011997,0.011623,0.011812,0.049394,0.999017,0.292355,0.047983,0.005589,
32.198643,72,0.620001,0.051832,0.470604,0.032605,0.137656,0.003662,0.006335,0.183648,0.354647,0.086936,0.238686,0.019116,
32.948013,68,0.085430,0.006717,0.052207,0.044290,0.024747,0.002789,0.010663,0.024803,0.939333,0.190362,0.035489,0.004268,
34.349365,70,0.090120,0.005250,0.536134,0.027262,0.072084,0.137479,0.068252,0.081162,0.260757,0.006391,0.858263,0.068668,
