average_pitches
File Name;Average Pitch (Note);Average Pitch (MIDI);Corpus;Output
impro01-01-audioinfluencer.csv;E4;64;RV;DK
impro01-02-audioinfluencer.csv;C#4;61;RO;DK
impro01-03-audioinfluencer.csv;B3;59;O;DK
impro01-04-audioinfluencer.csv;C4;60;O;DK
impro01-05-audioinfluencer.csv;C#4;61;RV;DK
impro01-06-audioinfluencer.csv;D4;62;RO;DK
impro01-07-audioinfluencer.csv;D4;62;RO;DK
impro01-08-audioinfluencer.csv;D4;62;RV;PT
impro01-09-audioinfluencer.csv;F#3;54;O;PT
impro01-10-audioinfluencer.csv;E4;64;RO;PT
impro01-11-audioinfluencer.csv;A#3;58;RV;PT
impro01-12-audioinfluencer.csv;D4;62;RO;PT
impro01-13-audioinfluencer.csv;C6;84;O;DK
impro01-14-audioinfluencer.csv;D4;62;O;PT
impro01-15-audioinfluencer.csv;C#4;61;RV;PT
impro01-16-audioinfluencer.csv;C4;60;RV;DK
impro01-17-audioinfluencer.csv;A#3;58;O;PT
impro01-18-audioinfluencer.csv;G#4;68;RO;PT
