Feature,Values
Pitch,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,60,61,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,60,60,60,60,60,60,60,60,61,60,60,60,60,60,60,60,60,61,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,58,54
Intensity,2,43,54,53,51,52,62,62,59,54,60,55,57,57,59,57,58,53,51,52,56,51,58,52,57,59,57,54,57,52,55,52,54,52,50,48,54,54,52,56,59,58,56,55,50,54,56,55,53,57,52,61,57,56,57,58,55,56,57,51,58,59,59,58,60,59,61,60,57,50,52,56,54,51,51,52,53,55,62,65,66,62,57,63,27,46
Duration,0.7348958333333333,0.0109375,0.03177083333333333,0.04635416666666667,0.015625,0.010416666666666666,0.03177083333333333,0.0265625,0.04635416666666667,0.015625,0.0265625,0.01614583333333333,0.042708333333333334,0.021354166666666667,0.075,0.042708333333333334,0.040625,0.0109375,0.01614583333333333,0.06927083333333334,0.042708333333333334,0.0109375,0.08020833333333333,0.010416666666666666,0.04635416666666667,0.021354166666666667,0.021354166666666667,0.040625,0.03177083333333333,0.010416666666666666,0.021354166666666667,0.015625,0.0265625,0.03177083333333333,0.0375,0.0109375,0.035416666666666666,0.04114583333333333,0.021354166666666667,0.04114583333333333,0.021354166666666667,0.021354166666666667,0.0375,0.035416666666666666,0.021354166666666667,0.020833333333333332,0.0265625,0.04114583333333333,0.021354166666666667,0.021354166666666667,0.0109375,0.03177083333333333,0.06927083333333334,0.04635416666666667,0.0359375,0.027083333333333334,0.040625,0.04114583333333333,0.04114583333333333,0.042708333333333334,0.021354166666666667,0.1046875,0.04583333333333333,0.04635416666666667,0.021354166666666667,0.04114583333333333,0.03229166666666666,0.035416666666666666,4.805208333333333,0.04114583333333333,0.0359375,0.0375,0.0359375,0.0640625,0.0109375,0.09635416666666667,0.12291666666666666,0.010416666666666666,0.4479166666666667,0.1703125,0.5760416666666667,1.0666666666666667,0.04114583333333333,0.04114583333333333,3.1588541666666665,6.293229166666666
Pitch Entropy,0.729625910478243
Intensity Entropy,3.942765918845799
Duration Entropy,4.541934888589858
