time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
4.749514,51,0.247274,0.188705,0.189676,0.289769,0.527154,0.638139,0.189833,0.176254,0.215836,0.385052,0.543825,0.266203,
4.898883,71,0.186168,0.317780,0.323894,0.374142,0.373856,0.615908,0.143967,0.148956,0.446646,0.318922,0.501184,0.250177,
5.849385,64,0.343051,0.156208,0.184070,0.199858,0.441372,0.239087,0.168814,0.377627,0.375679,0.374912,0.390175,0.379543,
7.599298,60,0.339709,0.166976,0.351012,0.568412,0.345605,0.294764,0.140069,0.174786,0.208911,0.268122,0.476085,0.451689,
9.698252,73,0.176719,0.104412,0.260229,0.443188,0.552265,0.382020,0.130364,0.169289,0.169196,0.294872,0.486154,0.192663,
9.848269,71,0.146123,0.071986,0.206863,0.285028,0.355700,0.311905,0.129277,0.110755,0.116581,0.215770,0.614703,0.307307,
10.148233,65,0.090191,0.045186,0.115961,0.233668,0.339451,0.442404,0.086632,0.066960,0.081578,0.174680,0.419758,0.250691,
11.049309,66,0.383671,0.390087,0.341326,0.280506,0.333595,0.386274,0.288376,0.590258,0.518064,0.635519,0.399647,0.290014,
12.548119,80,0.509183,0.474048,0.452527,0.513754,0.311340,0.355697,0.384898,0.328599,0.320302,0.377419,0.491982,0.476431,
12.698759,92,0.316792,0.294978,0.282226,0.322010,0.199019,0.224016,0.391501,0.474900,0.300297,0.397361,0.323535,0.296919,
13.148237,91,0.148747,0.151746,0.158008,0.179454,0.416653,0.445368,0.373052,0.479526,0.247149,0.245226,0.168718,0.132358,
13.349075,74,0.180244,0.123871,0.096368,0.117561,0.290884,0.701046,0.290996,0.275980,0.150937,0.155586,0.107808,0.086647,
13.649190,55,0.089669,0.069494,0.178664,0.191345,0.311354,0.331533,0.174132,0.413483,0.171460,0.091775,0.181361,0.142608,
13.848280,57,0.176408,0.235139,0.198176,0.344890,0.325415,0.181827,0.099408,0.239124,0.110668,0.169532,0.164386,0.122473,
15.848812,61,0.293727,0.373005,0.383786,0.348971,0.327820,0.299026,0.422952,0.437273,0.328184,0.407914,0.418882,0.227420,
16.148689,60,0.560392,0.623648,0.385433,0.273455,0.219079,0.238543,0.345417,0.312352,0.233560,0.317933,0.310695,0.346024,
16.498741,62,0.375787,0.653574,0.392249,0.251408,0.157447,0.120444,0.238678,0.295775,0.187818,0.270686,0.213625,0.272974,
16.698923,74,0.361808,0.405156,0.236516,0.176313,0.202586,0.081418,0.231163,0.329899,0.394698,0.302754,0.168094,0.206904,
16.848944,78,0.345203,0.290031,0.292542,0.157124,0.270706,0.194874,0.232691,0.248563,0.242864,0.205791,0.101557,0.126149,
17.398760,72,0.276224,0.231407,0.155172,0.255316,0.462826,0.162337,0.275710,0.129145,0.079248,0.091930,0.094096,0.101304,
18.198589,77,0.328427,0.475683,0.426475,0.549177,0.378422,0.325120,0.393276,0.427106,0.355079,0.469934,0.588262,0.362953,
18.998041,77,0.356592,0.499908,0.501812,0.605841,0.400299,0.308448,0.462122,0.544667,0.379277,0.430986,0.484099,0.384996,
19.648098,76,0.363544,0.479170,0.462554,0.388827,0.536324,0.524362,0.501000,0.602871,0.439069,0.465393,0.495943,0.406611,
20.349047,75,0.233016,0.209958,0.291445,0.501127,0.357338,0.368211,0.655221,0.439246,0.145434,0.190286,0.242587,0.228603,
21.198372,75,0.100014,0.090293,0.232877,0.472771,0.464181,0.533238,0.497020,0.393631,0.346060,0.202199,0.107805,0.099157,
22.349304,75,0.063559,0.110575,0.228044,0.434757,0.597588,0.527119,0.317453,0.302179,0.145790,0.140479,0.172952,0.039229,
26.998604,75,0.248853,0.524900,0.584581,0.334454,0.431747,0.399689,0.376880,0.177462,0.108479,0.272910,0.192140,0.149837,
27.148266,66,0.263753,0.377237,0.509129,0.259863,0.396807,0.465134,0.522890,0.188086,0.113266,0.221882,0.145694,0.183531,
27.298754,90,0.170664,0.244717,0.326101,0.178246,0.294619,0.309716,0.644142,0.243279,0.104958,0.194857,0.146532,0.132517,
27.799364,92,0.431647,0.384435,0.320837,0.289336,0.404163,0.447558,0.351628,0.231633,0.164484,0.312329,0.264171,0.234062,
29.048330,71,0.290773,0.374156,0.459271,0.405296,0.354537,0.322004,0.365722,0.539630,0.449413,0.417538,0.437645,0.314842,
29.248135,70,0.178194,0.235556,0.346559,0.423729,0.441844,0.264088,0.245918,0.334900,0.337512,0.354581,0.499982,0.451003,
29.599350,63,0.211735,0.147737,0.254497,0.323758,0.267329,0.467798,0.327330,0.182951,0.165926,0.292099,0.369824,0.282036,
29.849159,63,0.319429,0.296462,0.312535,0.357070,0.167137,0.238452,0.165242,0.108802,0.099520,0.199828,0.446999,0.322724,
30.148924,58,0.288297,0.214895,0.343493,0.354171,0.138802,0.204316,0.169794,0.126728,0.150663,0.348153,0.648432,0.290347,
30.398769,59,0.323688,0.189459,0.314077,0.399182,0.196019,0.251700,0.190051,0.122823,0.135153,0.275228,0.552560,0.456755,
30.599443,62,0.346420,0.546284,0.188434,0.216857,0.109290,0.134638,0.102553,0.071200,0.077689,0.154049,0.309928,0.296066,
30.798317,68,0.233847,0.384275,0.203065,0.416795,0.145894,0.082177,0.064627,0.095258,0.232685,0.096669,0.189513,0.169247,
30.948126,64,0.151472,0.239966,0.128385,0.367526,0.320587,0.069816,0.040966,0.065315,0.320524,0.106528,0.125753,0.112189,
31.148638,76,0.318130,0.295933,0.093092,0.217956,0.291882,0.056762,0.232030,0.194391,0.208622,0.161444,0.118439,0.080970,
31.348688,76,0.187314,0.250223,0.131598,0.120779,0.302683,0.101550,0.408554,0.349001,0.117065,0.089173,0.077727,0.102636,
32.499378,75,0.602709,0.311398,0.431109,0.318941,0.409949,0.329982,0.197740,0.321969,0.399690,0.585260,0.760440,0.602943,
32.649342,84,0.713171,0.405124,0.268390,0.198594,0.255380,0.205397,0.123139,0.211268,0.252798,0.364857,0.473965,0.384994,
33.598385,85,0.462792,0.338590,0.367124,0.394972,0.487634,0.451485,0.278326,0.326569,0.329038,0.586836,0.558148,0.394051,
33.848602,84,0.742025,0.274850,0.184106,0.202937,0.247656,0.235889,0.180101,0.176560,0.176388,0.296810,0.292546,0.218159,
35.498539,84,0.204623,0.143362,0.166951,0.261506,0.351809,0.344645,0.431041,0.352949,0.189710,0.560955,0.400655,0.181071,
38.098072,84,0.313278,0.323618,0.268131,0.598435,0.456778,0.282331,0.451227,0.412882,0.153231,0.389810,0.332517,0.400443,
42.298573,84,0.999998,0.109697,0.001902,0.000649,0.000922,0.000779,0.004820,0.006802,0.003139,0.001707,0.000333,0.001151,
42.898830,84,1.000000,0.110477,0.000921,0.000987,0.000189,0.000697,0.005512,0.003539,0.001785,0.000563,0.000733,0.000459,
47.899414,84,1.000000,0.306046,0.008535,0.003158,0.010608,0.014559,0.094560,0.100630,0.063498,0.023478,0.006436,0.011191,
53.999283,84,0.479372,0.627713,0.425348,0.345816,0.390303,0.507294,0.502570,0.439072,0.296658,0.465420,0.530334,0.328220,
58.948933,84,1.000000,0.213913,0.000000,0.000000,0.000000,0.000000,0.000000,0.002067,0.000528,0.000000,0.000000,0.000000,
59.899399,84,0.999981,0.408848,0.000000,0.000000,0.000283,0.000030,0.000000,0.003765,0.001990,0.000000,0.000000,0.000000,
60.048832,85,0.999988,0.506042,0.000000,0.000000,0.000646,0.000074,0.000000,0.005060,0.003543,0.000000,0.000000,0.000000,
60.398659,84,0.999996,0.640203,0.000000,0.000000,0.001017,0.000126,0.000000,0.009719,0.008134,0.000000,0.000000,0.000000,
61.748646,84,1.000000,0.380413,0.000000,0.000000,0.000914,0.000047,0.000000,0.005234,0.002330,0.000000,0.000017,0.000001,
61.949226,84,0.985914,0.447215,0.000000,0.000000,0.000487,0.000025,0.000000,0.007042,0.003245,0.000000,0.000009,0.000032,
62.148994,84,0.992603,0.407406,0.000000,0.000000,0.000256,0.000013,0.000000,0.011160,0.004146,0.000000,0.000005,0.000080,
