time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
3.347314,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.897393,70,0.061958,0.495665,0.061958,0.247832,0.000000,0.247832,2.602239,0.000000,1.610910,0.000000,1.610910,0.000000
4.547406,87,0.000000,1.685519,0.249572,1.685519,0.249572,0.125695,0.633018,1.684610,0.629382,1.622217,0.629382,0.062393
5.147145,71,1.629175,1.927982,1.699863,0.424128,0.133349,0.062661,1.879817,0.424128,0.385692,0.424128,0.197710,1.629175
5.697209,49,0.469910,1.730714,1.964129,0.079858,1.618738,0.311296,0.548228,0.079858,0.327355,0.328894,1.618738,0.718946
6.303312,46,0.141889,1.650856,0.549540,1.867774,0.469910,0.078318,0.079630,0.062259,1.618738,0.078318,0.469910,0.157948
8.147390,87,0.062500,1.625000,0.250000,1.625000,0.250000,0.062500,0.000000,1.687500,1.625000,1.625000,0.250000,0.062500
8.597446,64,0.253252,0.699509,1.646135,0.699509,1.646135,1.646135,0.063313,1.788551,0.699509,1.826569,0.107617,0.253252
9.098186,46,0.087673,1.816758,0.526041,2.068203,0.526041,0.602139,0.000000,0.526041,1.816758,0.613714,1.634393,0.087673
9.596949,66,1.672871,0.826724,1.981022,0.923218,0.122279,1.831308,1.672868,1.610910,1.996919,0.370112,1.741916,0.061958
10.252452,66,1.687533,0.329464,2.063178,0.329464,0.062501,1.750035,1.687533,3.128886,1.704491,0.312506,1.687533,0.125162
10.698067,50,1.998326,0.344686,2.192033,0.344686,0.061958,0.677977,2.068117,1.215383,1.680702,0.344686,0.643081,0.000000
11.197824,50,1.746738,0.312886,1.807525,0.250025,0.313951,0.182363,1.687669,0.553653,1.625163,1.758696,0.244869,0.000000
13.698184,75,0.087170,0.523018,0.087170,0.523018,0.000000,0.523018,0.000000,0.523018,0.523018,0.000000,0.087170,0.000000
14.047351,57,0.000000,1.736883,0.257316,1.710668,0.257316,0.314487,0.000000,1.672554,0.257316,1.672554,0.257316,0.064329
14.497019,63,0.000000,2.072595,1.646135,2.072595,1.646135,0.115637,0.063313,0.756746,0.359893,0.733328,0.359893,0.253252
14.997546,87,0.062861,2.113881,0.518483,2.286849,1.979926,0.062857,0.000000,0.263732,1.634393,1.634393,0.337869,0.337840
16.898754,73,0.062500,0.000000,1.625000,0.250000,1.625000,0.000000,0.062500,0.000000,1.625000,0.250000,0.000000,0.250000
17.347916,52,0.000000,0.000000,2.672033,0.096855,2.616329,0.000000,0.123916,0.000000,0.581131,0.592520,0.000000,0.497832
17.598295,79,1.555641,0.299769,3.160307,0.059954,1.959268,0.000000,1.555641,2.991375,0.308837,2.631653,0.059954,1.615595
17.997663,62,0.719980,0.110766,2.311988,0.000000,0.794774,0.000000,0.719980,1.384576,0.079766,1.250146,0.000000,0.719980
18.898970,87,0.122366,1.625367,0.473246,1.625367,0.250056,0.062514,0.059851,1.747732,1.625367,1.685218,0.250056,0.122366
21.397331,75,0.523018,0.523018,0.087170,0.523018,0.000000,0.523018,0.000000,0.523018,0.523018,0.000000,0.087170,0.000000
23.247747,87,0.062500,1.625000,0.250000,1.625000,0.250000,0.062500,0.000000,1.687500,1.625000,1.625000,0.250000,0.062500
23.600550,66,0.000000,1.775646,0.119574,0.777233,0.119574,0.061281,2.573788,0.777233,0.777233,0.777233,0.242136,0.000000
24.697287,66,0.062503,1.750003,0.000000,0.250011,0.000000,0.062500,2.625005,0.000000,1.875073,0.000000,0.125000,0.000000
25.248222,94,0.062861,0.610187,1.697255,1.721560,1.634393,0.251445,0.934556,0.062861,2.157395,0.251445,1.634393,0.251445
25.747189,72,1.634393,0.161338,1.760116,0.524361,0.663881,0.087394,0.259815,1.760116,0.622836,1.634393,0.524361,0.087394
26.948166,66,0.079459,1.750035,0.079459,0.000000,0.000000,0.062501,2.625052,0.079459,0.250005,0.079459,0.125002,0.000000
