File Name,Pitch Entropy,Intensity Entropy,Duration Entropy
impro01-01-audioinfluencer.mid,2.816340113853408,3.6835423624332306,4.169925001442312
impro01-02-audioinfluencer.mid,1.7956309563848885,4.413780533471857,3.2967016043012864
impro01-03-audioinfluencer.mid,1.4203150448792217,4.244284417228873,2.571973039606861
impro01-04-audioinfluencer.mid,1.2804113111260778,3.30167366468188,3.053326475133802
impro01-05-audioinfluencer.mid,2.5970771378020308,4.692092175028857,3.616367700440125
impro01-06-audioinfluencer.mid,4.431785159814103,5.534393269450983,5.524306411936703
impro01-07-audioinfluencer.mid,1.6288868007567598,3.522459275301323,2.6804447065057335
impro01-08-audioinfluencer.mid,3.563373512262061,5.4652855683382215,5.422269205466774
impro01-09-audioinfluencer.mid,2.5226203095310216,3.5724312513221195,3.794653473544342
impro01-10-audioinfluencer.mid,3.10713775400675,4.793773756368352,5.473019039387217
impro01-11-audioinfluencer.mid,0.729625910478243,3.942765918845799,4.541934888589858
impro01-12-audioinfluencer.mid,2.252705481927944,4.220175521464346,4.303508854797679
impro01-13-audioinfluencer.mid,4.730670843289957,5.384234931801629,5.937151617450954
impro01-14-audioinfluencer.mid,3.423428172700609,5.244999224615144,5.335266716329645
impro01-15-audioinfluencer.mid,3.239097917988786,3.94770277922009,4.169925001442312
impro01-16-audioinfluencer.mid,1.896240625180289,3.0849625007211556,3.584962500721156
impro01-17-audioinfluencer.mid,1.5,2.0,2.0
impro01-18-audioinfluencer.mid,2.6464393446710153,3.321928094887362,3.321928094887362
