Feature,Values
Pitch,64,64,66,53,68,63,67,65,65,65
Intensity,57,55,61,53,88,64,80,73,70,74
Duration,3.4291666666666667,0.7520833333333333,0.6026041666666666,0.06927083333333334,0.03177083333333333,0.6244791666666667,0.8479166666666667,6.533333333333333,1.2,9.6796875
Pitch Entropy,2.6464393446710153
Intensity Entropy,3.321928094887362
Duration Entropy,3.321928094887362
