time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
77.048546,70,0.012029,0.399216,0.613972,0.719664,0.068558,0.047507,0.021801,0.052229,0.062856,0.068983,0.577274,0.039976,running
78.697357,51,0.049912,0.105342,0.324247,0.875805,0.195086,0.098655,0.121957,0.423636,0.082516,0.139119,0.704827,0.070409,stopped
79.547516,62,0.045560,0.092871,0.638612,0.348999,0.058667,0.020815,0.208897,0.138950,0.024926,0.606099,0.088036,0.012127,running
80.600716,70,0.118861,0.027686,0.220893,0.083465,0.020868,0.511090,0.061898,0.045612,0.076587,0.140090,0.717030,0.007744,running
83.198181,58,0.479947,0.300573,0.454646,0.448773,0.335673,0.435473,0.501165,0.404107,0.365461,0.341023,0.680508,0.601872,running
85.847595,60,0.998009,0.031491,0.021826,0.008581,0.044949,0.005285,0.004491,0.357680,0.005110,0.046602,0.229087,0.049978,running
95.098122,73,0.236923,0.590607,0.279721,0.120141,0.159877,0.223482,0.335960,0.511562,0.306568,0.293402,0.298354,0.427587,running
95.899414,72,0.662854,0.473983,0.084809,0.049779,0.044405,0.037452,0.070810,0.232661,0.364378,0.072027,0.078267,0.199918,running
96.796928,72,0.866529,0.166092,0.156082,0.171690,0.142927,0.128428,0.104529,0.281362,0.179386,0.370702,0.169790,0.280353,running
97.698654,75,0.063223,0.079561,0.051960,0.611863,0.017719,0.012914,0.020357,0.296172,0.059472,0.038876,0.242480,0.091667,running
98.898155,72,0.299053,0.154159,0.207126,0.462813,0.304048,0.231889,0.062493,0.090060,0.225269,0.765899,0.112673,0.053474,running
100.251747,65,0.083954,0.026781,0.026377,0.031165,0.105925,0.989563,0.062254,0.016486,0.014434,0.056876,0.021489,0.013404,running
104.697952,66,0.316513,0.216946,0.630007,0.373676,0.372225,0.371115,0.310534,0.252728,0.328015,0.370568,0.606686,0.202871,running
105.497635,65,0.269540,0.031073,0.076094,0.035169,0.122071,0.944445,0.036666,0.047758,0.039074,0.107250,0.601782,0.037326,running
106.297531,46,0.179586,0.006854,0.015034,0.009461,0.084653,0.945722,0.022853,0.032423,0.007610,0.059943,0.608025,0.023941,running
107.248238,65,0.229758,0.017659,0.028871,0.024867,0.086529,0.801126,0.050242,0.025713,0.020789,0.057492,0.531710,0.119734,running
108.897873,65,0.546870,0.894007,0.503822,0.254521,0.202898,0.410418,0.212074,0.190134,0.174223,0.149808,0.208068,0.213192,running
110.196564,64,0.278930,0.199332,0.207940,0.119468,0.289042,0.184044,0.114659,0.114848,0.159467,0.295699,0.410075,0.816561,running
111.547699,64,0.018889,0.016272,0.019058,0.060152,0.927657,0.055685,0.029851,0.009570,0.067373,0.024476,0.029395,0.148005,running
112.797508,66,0.373883,0.590962,0.373441,0.302094,0.154260,0.188750,0.487758,0.179630,0.117339,0.130693,0.293304,0.219635,running
114.147835,79,0.084848,0.104525,0.214714,0.593526,0.385582,0.080912,0.924206,0.820211,0.108965,0.057463,0.336048,0.395909,running
115.397293,69,0.120235,0.071346,0.092759,0.148321,0.378435,0.776139,0.075309,0.074860,0.072405,0.262289,0.203558,0.647332,running
117.448700,64,0.558887,0.733942,0.706131,0.431398,0.278005,0.217423,0.244905,0.324432,0.177093,0.234540,0.389086,0.476476,running
118.699173,62,0.122683,0.211087,0.915461,0.355139,0.217080,0.308155,0.218629,0.341458,0.420786,0.182864,0.205562,0.132765,running
119.697601,60,0.531143,0.209662,0.576321,0.096901,0.104336,0.083997,0.086106,0.277227,0.126648,0.081727,0.114722,0.120226,running
121.497871,59,0.307343,0.390347,0.364736,0.305606,0.334223,0.166417,0.206818,0.267175,0.200222,0.840721,0.255541,0.788219,running
127.148109,71,0.357339,0.385227,0.731212,0.883196,0.304401,0.212806,0.308740,0.408603,0.515437,0.454935,0.636687,0.723029,stopped
127.148109,71,0.357339,0.385227,0.731212,0.883196,0.304401,0.212806,0.308740,0.408603,0.515437,0.454935,0.636687,0.723029,stopped
127.148109,71,0.357339,0.385227,0.731212,0.883196,0.304401,0.212806,0.308740,0.408603,0.515437,0.454935,0.636687,0.723029,stopped
127.148109,71,0.357339,0.385227,0.731212,0.883196,0.304401,0.212806,0.308740,0.408603,0.515437,0.454935,0.636687,0.723029,stopped
