time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
6.748975,62,0.000000,0.000006,0.000366,0.000001,0.000001,0.000041,0.168819,0.999999,0.075397,0.000001,0.000001,0.000001,
10.698646,56,0.000387,0.000043,0.003214,0.053461,0.000064,0.000225,0.000279,0.259174,0.999995,0.018234,0.000377,0.000213,
12.599217,55,0.000001,0.000000,0.005662,0.002456,0.000000,0.000001,0.023872,0.997589,0.447049,0.000533,0.000001,0.000000,
16.949223,56,0.000000,0.000000,0.000447,0.027074,0.000018,0.000000,0.010052,0.511991,0.997114,0.046527,0.000000,0.000000,
20.298855,55,0.008489,0.005477,0.003673,0.020501,0.011194,0.013042,0.010495,0.274093,0.979170,0.039917,0.020974,0.015371,
21.249216,57,0.002889,0.003953,0.001639,0.027044,0.062840,0.001061,0.003383,0.040822,0.488008,0.915368,0.009829,0.001076,
22.049540,56,0.000432,0.000365,0.000131,0.032356,0.034872,0.000085,0.000271,0.008232,0.956675,0.826198,0.002248,0.000086,
26.698421,57,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002490,0.834704,1.000000,0.003843,0.000000,
31.399307,56,0.010976,0.012575,0.006723,0.019430,0.070053,0.013738,0.009800,0.010107,0.440616,0.989419,0.015971,0.009824,
31.949169,58,0.002630,0.003919,0.001269,0.003790,0.016208,0.036244,0.019286,0.002019,0.099736,0.262671,0.761259,0.442311,
33.348900,59,0.004226,0.000046,0.000018,0.000056,0.000219,0.007488,0.016259,0.000024,0.001256,0.003518,0.593097,0.992827,
37.599491,57,0.144041,0.203385,0.170073,0.158208,0.185275,0.215391,0.219971,0.217055,0.776814,0.745124,0.195223,0.138982,
37.799328,56,0.075639,0.106801,0.089308,0.083078,0.097292,0.113126,0.115511,0.116159,0.882719,0.854120,0.103897,0.072982,
