time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
4.248750,58,0.135474,0.035372,0.048566,0.457577,0.517536,0.516272,0.372068,0.402865,0.245887,0.219197,0.169500,0.156034,
4.798008,64,0.062198,0.023082,0.034378,0.109968,0.899795,0.683541,0.114075,0.102691,0.065821,0.057865,0.060387,0.072948,
5.297920,53,0.014939,0.004827,0.007062,0.025288,0.937235,0.605354,0.042256,0.021568,0.014234,0.012660,0.013588,0.018804,
5.948171,53,0.201802,0.114915,0.217769,0.273865,0.484316,0.705370,0.189848,0.209343,0.180082,0.226136,0.395284,0.371471,
8.398017,53,0.240685,0.256530,0.321286,0.325337,0.325537,0.691059,0.499206,0.462699,0.370781,0.243778,0.282909,0.326664,
9.748062,55,0.005145,0.006497,0.012264,0.006186,0.006385,0.013112,0.450585,0.992488,0.025060,0.005171,0.004786,0.005432,
10.298075,55,0.130371,0.120812,0.129937,0.079294,0.189933,0.413923,0.342038,0.498432,0.392928,0.447331,0.171308,0.105939,
11.697866,53,0.134434,0.199929,0.165393,0.301237,0.349100,0.762948,0.312733,0.100582,0.080905,0.085456,0.116842,0.067761,
12.348725,49,0.090111,0.593139,0.238052,0.374447,0.087398,0.139891,0.076292,0.057788,0.254433,0.087048,0.098823,0.025215,
13.098345,65,0.174479,0.220331,0.157649,0.186189,0.546752,0.445802,0.256561,0.258473,0.255318,0.254241,0.298725,0.256075,
13.897868,55,0.018350,0.028335,0.020597,0.020851,0.049755,0.051451,0.522543,0.891733,0.050571,0.026217,0.028956,0.023372,
15.349072,71,0.382890,0.298032,0.157509,0.139816,0.175294,0.222154,0.438271,0.748146,0.446159,0.138560,0.131588,0.238291,
15.948695,71,0.526534,0.119426,0.057788,0.040302,0.076359,0.050107,0.112095,0.351770,0.095350,0.039079,0.055857,0.463543,
16.698376,74,0.097810,0.308687,0.620837,0.037300,0.027526,0.034637,0.025808,0.048879,0.098638,0.030794,0.018485,0.111134,
17.298038,64,0.050930,0.054155,0.160434,0.024449,0.801452,0.286114,0.005120,0.007342,0.039815,0.005470,0.004554,0.228119,
18.048077,73,0.013613,0.695389,0.045077,0.017695,0.117219,0.099600,0.050801,0.007979,0.116534,0.027487,0.104535,0.177346,
18.598469,61,0.061864,0.947744,0.028239,0.015072,0.028570,0.066567,0.016200,0.009451,0.187175,0.006602,0.023628,0.050349,
19.149029,70,0.015990,0.278341,0.024985,0.024078,0.006970,0.034698,0.220158,0.013354,0.057039,0.002952,0.129811,0.745311,
