File Name,Average Pitch (Note),Average Pitch (MIDI)
impro10-01-audioinfluencer.csv,C5,72
impro10-02-audioinfluencer.csv,E4,64
impro10-03-audioinfluencer.csv,F#4,66
impro10-04-audioinfluencer.csv,A4,69
impro10-05-audioinfluencer.csv,D4,62
impro10-06-audioinfluencer.csv,B4,71
impro10-07-audioinfluencer.csv,A#3,58
impro10-08-audioinfluencer.csv,G#4,68
impro10-09-audioinfluencer.csv,D#4,63
impro10-10-audioinfluencer.csv,F#4,66
impro10-11-audioinfluencer.csv,A4,69
impro10-12-audioinfluencer.csv,E4,64
impro10-13-audioinfluencer.csv,B4,71
impro10-14-audioinfluencer.csv,A4,69
impro10-15-audioinfluencer.csv,D4,62
impro10-16-audioinfluencer.csv,E3,52
impro10-17-audioinfluencer.csv,D3,50
impro10-18-audioinfluencer.csv,E4,64
