File Name,Lowest Note,Lowest MIDI,Highest Note,Highest MIDI,Ambitus (Note Difference)
impro10-01-audioinfluencer.csv,D4,62,B5,83,21
impro10-02-audioinfluencer.csv,A#2,46,B5,83,37
impro10-03-audioinfluencer.csv,C#3,49,B5,83,34
impro10-04-audioinfluencer.csv,C#3,49,F6,89,40
impro10-05-audioinfluencer.csv,C#2,37,E6,88,51
impro10-06-audioinfluencer.csv,F#3,54,E6,88,34
impro10-07-audioinfluencer.csv,G2,43,D5,74,31
impro10-08-audioinfluencer.csv,D#3,51,D6,86,35
impro10-09-audioinfluencer.csv,A#2,46,G#5,80,34
impro10-10-audioinfluencer.csv,F3,53,G5,79,26
impro10-11-audioinfluencer.csv,E3,52,D6,86,34
impro10-12-audioinfluencer.csv,A#2,46,A5,81,35
impro10-13-audioinfluencer.csv,C4,60,A#5,82,22
impro10-14-audioinfluencer.csv,A3,57,A5,81,24
impro10-15-audioinfluencer.csv,C2,36,F6,89,53
impro10-16-audioinfluencer.csv,C2,36,A4,69,33
impro10-17-audioinfluencer.csv,F1,29,B4,71,42
impro10-18-audioinfluencer.csv,C3,48,G5,79,31
