File Name,Lowest Note,Lowest MIDI,Highest Note,Highest MIDI,Ambitus (Note Difference)
impro09-01-audioinfluencer.csv,D3,50,A#4,70,20
impro09-02-audioinfluencer.csv,A2,45,D#4,63,18
impro09-03-audioinfluencer.csv,C#4,61,F5,77,16
impro09-04-audioinfluencer.csv,C#3,49,G#4,68,19
impro09-05-audioinfluencer.csv,G#2,44,B4,71,27
impro09-06-audioinfluencer.csv,A#1,34,C4,60,26
impro09-07-audioinfluencer.csv,D2,38,C#4,61,23
impro09-08-audioinfluencer.csv,F1,29,A#4,70,41
impro09-09-audioinfluencer.csv,G#1,32,G4,67,35
impro09-10-audioinfluencer.csv,A#2,46,D#4,63,17
impro09-11-audioinfluencer.csv,A#2,46,D4,62,16
impro09-12-audioinfluencer.csv,F#1,30,F#5,78,48
impro09-13-audioinfluencer.csv,C#2,37,F#4,66,29
impro09-14-audioinfluencer.csv,F#2,42,F#5,78,36
impro09-15-audioinfluencer.csv,C#2,37,F4,65,28
impro09-16-audioinfluencer.csv,F2,41,D#5,75,34
impro09-17-audioinfluencer.csv,F2,41,B4,71,30
impro09-18-audioinfluencer.csv,F2,41,F#5,78,37
