Duration (s),Frequency
0.22395833333333348,2
0.6989583333333331,2
0.6880208333333337,2
0.44270833333333304,2
0.1864583333333334,2
0.28281250000000036,2
0.13333333333333375,2
0.31979166666666625,2
0.13906249999999964,4
0.39427083333333357,2
0.3359375,7
0.1338541666666666,2
0.14374999999999982,2
0.08541666666666625,1
0.03177083333333375,1
0.16562500000000036,6
0.3994791666666675,2
0.5713541666666657,2
0.10624999999999929,2
0.12291666666666679,2
0.047916666666667496,4
0.39479166666666643,2
0.03177083333333286,16
0.14427083333333357,4
0.20260416666666714,11
0.11197916666666607,4
0.3572916666666668,2
0.1437500000000007,2
0.021354166666666785,2
0.15468749999999964,1
0.14895833333333286,1
0.11770833333333286,6
0.053124999999999645,2
0.1864583333333325,2
0.1708333333333325,2
0.048437500000000355,2
0.07968750000000036,2
0.11145833333333321,2
0.35781249999999964,2
0.08541666666666714,29
0.12239583333333393,2
0.053645833333332504,2
0.15989583333333357,2
0.09062499999999929,13
0.06406250000000036,2
0.19687500000000036,1
0.05833333333333357,3
0.10677083333333393,2
0.17031249999999964,2
0.1494791666666675,2
0.0692708333333325,4
0.18697916666666714,5
0.1171875,7
0.3682291666666675,2
0.23489583333333286,3
0.34687499999999893,2
0.07447916666666643,4
0.431770833333335,2
0.458854166666665,2
0.45833333333333215,2
0.31510416666666785,2
0.2609375000000007,2
0.2510416666666657,2
0.25052083333333286,4
0.234375,2
0.2296875000000007,2
0.240104166666665,2
0.5864583333333329,2
0.05364583333333428,4
0.05312500000000142,25
0.04270833333333357,4
0.10104166666666714,20
0.203125,2
0.26614583333333286,2
0.27760416666666643,2
0.29322916666666643,6
0.1015625,8
0.2078124999999993,4
0.09635416666666785,6
0.08489583333333428,8
0.06927083333333428,19
0.13906250000000142,2
0.2718750000000014,3
0.02656250000000071,1
0.08020833333333499,10
0.06406249999999858,22
0.14947916666666572,4
0.255729166666665,2
0.138541666666665,2
0.04791666666666572,17
0.2828124999999986,2
0.2984374999999986,2
0.09583333333333499,8
0.03750000000000142,11
0.04843749999999858,8
0.13333333333333286,4
0.05885416666666643,3
0.03697916666666501,2
0.02708333333333357,1
0.10677083333333215,4
0.372916666666665,2
0.06458333333333499,2
0.16041666666666643,2
0.3734375000000014,4
0.3890625000000014,3
0.341666666666665,1
0.06979166666666714,6
0.06354166666666572,6
0.09114583333333215,2
0.9333333333333336,2
0.05885416666666998,15
0.09062500000000284,13
0.17604166666666998,2
0.08020833333333144,9
0.12291666666666856,6
0.24010416666666856,2
0.09583333333333144,11
0.15989583333333002,6
0.21875,6
0.1223958333333357,2
0.07500000000000284,10
0.1119791666666643,14
0.15416666666666856,2
0.03697916666666856,9
0.026562499999997158,7
0.18124999999999858,3
0.19166666666666998,2
0.1067708333333357,4
0.14427083333333002,2
0.17083333333333428,3
0.04218749999999716,2
0.07968749999999858,10
0.10625000000000284,4
0.12343750000000142,2
0.03229166666666572,7
0.04270833333333002,13
0.3999999999999986,4
0.42656250000000284,1
0.37864583333333,3
0.45885416666666856,2
0.35208333333333286,2
0.4052083333333343,5
0.19218750000000284,2
0.13854166666666856,9
0.07447916666666998,9
0.12812499999999716,1
0.14374999999999716,2
0.0963541666666643,13
0.18645833333333428,4
0.2083333333333357,2
0.04322916666666998,2
0.24531249999999716,2
0.2562500000000014,2
0.13385416666666572,1
0.19739583333333144,1
0.0364583333333357,1
0.16041666666666998,1
0.15468750000000142,1
0.9015624999999972,2
0.05833333333333002,1
1.328125,2
4.250520833333333,2
0.005208333333335702,1
