File Name,Lowest Note,Lowest MIDI,Highest Note,Highest MIDI,Ambitus (Note Difference)
impro08-01-audioinfluencer.csv,C#3,49,D#5,75,26
impro08-02-audioinfluencer.csv,D#3,51,D4,62,11
impro08-03-audioinfluencer.csv,A#2,46,C#6,85,39
impro08-04-audioinfluencer.csv,A#2,46,B4,71,25
impro08-05-audioinfluencer.csv,A#2,46,G4,67,21
impro08-06-audioinfluencer.csv,A2,45,D#5,75,30
impro08-07-audioinfluencer.csv,A#2,46,E5,76,30
impro08-08-audioinfluencer.csv,D3,50,F5,77,27
impro08-09-audioinfluencer.csv,A2,45,A#4,70,25
impro08-10-audioinfluencer.csv,G3,55,C5,72,17
impro08-11-audioinfluencer.csv,F3,53,A4,69,16
impro08-12-audioinfluencer.csv,D#3,51,E5,76,25
impro08-13-audioinfluencer.csv,G#2,44,D#5,75,31
impro08-14-audioinfluencer.csv,A2,45,D#5,75,30
impro08-15-audioinfluencer.csv,C3,48,C5,72,24
impro08-16-audioinfluencer.csv,A2,45,G#5,80,35
impro08-17-audioinfluencer.csv,A#2,46,E5,76,30
impro08-18-audioinfluencer.csv,G#2,44,A#5,82,38
