File Name,Average Pitch (Note),Average Pitch (MIDI)
impro08-01-audioinfluencer.csv,D4,62
impro08-02-audioinfluencer.csv,G#3,56
impro08-03-audioinfluencer.csv,F#4,66
impro08-04-audioinfluencer.csv,A#3,58
impro08-05-audioinfluencer.csv,G#3,56
impro08-06-audioinfluencer.csv,C4,60
impro08-07-audioinfluencer.csv,C#4,61
impro08-08-audioinfluencer.csv,E4,64
impro08-09-audioinfluencer.csv,A#3,58
impro08-10-audioinfluencer.csv,E4,64
impro08-11-audioinfluencer.csv,C#4,61
impro08-12-audioinfluencer.csv,E4,64
impro08-13-audioinfluencer.csv,C4,60
impro08-14-audioinfluencer.csv,C4,60
impro08-15-audioinfluencer.csv,C4,60
impro08-16-audioinfluencer.csv,D4,62
impro08-17-audioinfluencer.csv,C#4,61
impro08-18-audioinfluencer.csv,D#4,63
