MIDI Value,Occurrences
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,7
45,8
46,9
47,10
48,10
49,12
50,12
51,14
52,15
53,15
54,15
55,16
56,17
57,17
58,17
59,18
60,17
61,17
62,17
63,17
64,16
65,16
66,16
67,16
68,16
69,15
70,14
71,13
72,12
73,12
74,11
75,10
76,8
77,4
78,4
79,3
80,3
81,3
82,2
83,2
84,2
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
