File Name,Lowest MIDI,Lowest Note,Highest MIDI,Highest Note,Note Difference,Average MIDI Pitch,Average Note Pitch,Pitch Std Dev,Lowest Velocity,Highest Velocity,Velocity Range,Average Velocity,Velocity Std Dev,Pitch Entropy,Intensity Entropy,Duration Entropy,Note Density,Average Note Distance,Note Time Std Dev,Average Duration,Duration Std Dev
impro04-01-audioinfluencer.mid,62,D4,75,D#5,13,73.22222222222223,C#5,3.797143749398325,3,81,78,61.22222222222222,20.84834753094935,1.768853837616,3.9057645846554525,4.058813890331201,0.27522872233123746,3.8470677058823526,1.1577876198836388,3.6333417222222217,1.1577876198836388
impro04-02-audioinfluencer.mid,45,A2,69,A4,24,66.63333333333334,G4,4.122966234971206,36,80,44,67.33333333333333,8.730972744057288,1.265559003328221,4.231401845392171,3.641084980573949,0.4827004968918915,2.143115172413793,0.8523501048522951,2.071678,0.8523501048522951
impro04-03-audioinfluencer.mid,55,G3,70,A#4,15,57.18421052631579,A3,3.1865872887895903,51,87,36,65.0,7.874007874011811,1.6121053183111957,4.188331131693838,5.19529593449622,0.5974839948974866,1.7189197297297298,1.2498777875006548,1.673685,1.2498777875006548
impro04-04-audioinfluencer.mid,44,G#2,75,D#5,31,66.0,F#4,8.85473037421242,1,100,99,80.29230769230769,20.6924828416951,2.268768179280144,4.350547959176172,5.660678966808043,1.024412748693728,0.9914216718749999,0.9767818671884778,0.9761690307692307,0.9767818671884778
impro04-05-audioinfluencer.mid,46,A#2,50,D3,4,48.34146341463415,C3,0.7065742810875366,2,87,85,46.9390243902439,16.7555758627755,1.5140226485977377,5.2458627912513585,5.744568315514539,1.3587518690916145,0.7450555925925926,0.6471041476942982,0.7359695487804878,0.6471041476942982
impro04-06-audioinfluencer.mid,59,B3,77,F5,18,71.42045454545455,B4,4.471420332625147,27,86,59,69.63636363636364,7.741783658245448,2.9117363363782682,4.353565284806033,4.7763278238821325,1.485246982649024,0.6810276436781609,0.43140215335540233,0.6732886931818182,0.43140215335540233
impro04-07-audioinfluencer.mid,49,C#3,71,B4,22,60.87404580152672,C#4,6.511658719373096,28,92,64,80.09923664122137,10.202437513448295,3.365107319865947,4.229931498652672,5.557921602144376,4.2463008115475,0.23640139080459774,0.20180607458986666,0.23549909541984737,0.20180607458986666
impro04-08-audioinfluencer.mid,45,A2,71,B4,26,59.82608695652174,C4,5.635905172195007,3,74,71,61.53623188405797,10.959255704312126,2.837888873044483,4.362471385545488,4.524463225674576,1.1201681849734697,0.9058513676470588,0.88528038471154,0.8927230869565217,0.88528038471154
impro04-09-audioinfluencer.mid,44,G#2,75,D#5,31,55.833333333333336,G#3,10.396427957991834,15,105,90,67.33333333333333,26.3482176138837,2.8481525312902596,4.781036112553422,5.1699250014423095,1.068222885417191,0.9628809142857142,1.4128267209924257,0.9361342222222222,1.4128267209924257
impro04-10-audioinfluencer.mid,46,A#2,76,E5,30,61.27173913043478,C#4,7.159260906155609,2,91,89,75.1413043478261,13.390649125201758,4.454990312648955,4.648806555666997,4.816069453397584,1.5295346066764353,0.6609781868131868,0.4059606483629588,0.6537936413043478,0.4059606483629588
impro04-11-audioinfluencer.mid,56,G#3,56,G#3,0,56.0,G#3,0.0,65,80,15,75.125,4.454131308603925,-0.0,2.4056390622295662,3.0,0.13310999472867782,8.585810142857143,0.7152400250935232,7.512583875,0.7152400250935232
impro04-12-audioinfluencer.mid,51,D#3,84,C6,33,72.03846153846153,C5,9.891492756873253,8,83,75,54.90384615384615,23.4004018864304,2.7713721019981494,5.032076496945639,5.041503900708586,0.8761426311004653,1.1637464117647058,0.6773172159334369,1.1413666730769232,0.6773172159334369
impro04-13-audioinfluencer.mid,44,G#2,74,D5,30,47.21739130434783,B2,6.8087945918838235,1,83,82,36.30434782608695,23.892628727494206,2.4030880459193185,4.0559581516151235,4.523561956057013,0.35966004744666624,2.906785318181818,3.3983952148503356,2.780403347826087,3.3983952148503356
impro04-14-audioinfluencer.mid,44,G#2,83,B5,39,59.172413793103445,B3,16.011310657329624,14,97,83,61.310344827586206,24.67228556248584,3.0643253940584856,4.513153408920675,4.857980995127571,0.5234683213127258,1.9785615357142856,2.134590443290285,1.9103352758620689,2.134590443290285
impro04-15-audioinfluencer.mid,45,A2,54,F#3,9,47.88461538461539,C3,2.2685135763653355,21,71,50,43.57692307692308,14.330870390658278,2.4095349947050457,4.315824333525707,4.517559429596341,0.4391943526903627,2.36797216,0.90253398725868,2.2768963076923074,0.90253398725868
impro04-16-audioinfluencer.mid,62,D4,62,D4,0,62.0,D4,0.0,3,83,80,35.5,39.05978323885921,-0.0,2.0,2.0,0.056898845630529965,23.433398666666665,12.349836715005484,17.575049,12.349836715005484
impro04-17-audioinfluencer.mid,50,D3,73,C#5,23,65.6,F#4,5.102989940134502,2,91,89,76.925,23.108864538379304,3.4867404760942255,3.920025170440331,5.853055907333273,1.3900968492638228,0.7284803417721519,0.709056303059367,0.7193743375,0.709056303059367
impro04-18-audioinfluencer.mid,47,B2,61,C#4,14,53.88,F#3,6.339821238278989,35,92,57,75.4,19.364916731037084,1.6430741894285696,3.6234651896016468,4.5638561897747225,0.38669082566580854,2.6937972083333332,2.5764265208696875,2.58604532,2.5764265208696875
