File Name,Average Pitch (Note),Average Pitch (MIDI)
impro04-01-audioinfluencer.csv,D4,62
impro04-02-audioinfluencer.csv,C4,60
impro04-03-audioinfluencer.csv,A#3,58
impro04-04-audioinfluencer.csv,D4,62
impro04-05-audioinfluencer.csv,C4,60
impro04-06-audioinfluencer.csv,E4,64
impro04-07-audioinfluencer.csv,C#4,61
impro04-08-audioinfluencer.csv,A#3,58
impro04-09-audioinfluencer.csv,C4,60
impro04-10-audioinfluencer.csv,C4,60
impro04-11-audioinfluencer.csv,F#4,66
impro04-12-audioinfluencer.csv,A#4,70
impro04-13-audioinfluencer.csv,C4,60
impro04-14-audioinfluencer.csv,E4,64
impro04-15-audioinfluencer.csv,E3,52
impro04-16-audioinfluencer.csv,A3,57
impro04-17-audioinfluencer.csv,F#4,66
impro04-18-audioinfluencer.csv,A#3,58
