time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
4.648993,67,0.337021,0.359206,0.374787,0.566477,0.764262,0.636495,0.668313,0.529292,0.600317,0.446053,0.364956,0.359989,
5.348888,59,0.149339,0.412780,0.067133,0.118229,0.092509,0.110092,0.136383,0.076566,0.130095,0.227835,0.118451,0.492428,
5.999479,59,0.040956,0.128588,0.028796,0.059990,0.085615,0.045080,0.097445,0.252923,0.201838,0.487998,0.131378,0.391301,
6.648530,56,0.029922,0.025936,0.056107,0.072660,0.026224,0.071524,0.061469,0.378404,0.533359,0.124429,0.178093,0.137884,
7.348057,58,0.033630,0.041705,0.037410,0.080771,0.077623,0.100469,0.098599,0.058862,0.160353,0.268524,0.347647,0.471941,
8.098031,57,0.017596,0.052456,0.032784,0.062270,0.119446,0.034693,0.033884,0.191538,0.463777,0.500523,0.101072,0.067463,
8.748006,59,0.025249,0.027173,0.049779,0.120918,0.073486,0.044432,0.133478,0.358449,0.338822,0.167185,0.065175,0.398232,
9.248395,55,0.022549,0.034619,0.044756,0.137944,0.113411,0.039728,0.097116,0.316984,0.515614,0.308375,0.055581,0.166804,
9.949689,56,0.014108,0.034848,0.027155,0.124415,0.160385,0.043659,0.062316,0.168624,0.630452,0.465969,0.034199,0.029281,
10.549214,56,0.019376,0.046400,0.020143,0.112601,0.225726,0.062375,0.159425,0.099577,0.347807,0.585227,0.089255,0.304655,
11.097889,58,0.024243,0.033953,0.023418,0.115865,0.172246,0.120403,0.215442,0.064871,0.211023,0.394972,0.277910,0.456634,
12.297362,56,0.286484,0.406779,0.370622,0.496389,0.456034,0.405697,0.345250,0.420764,0.841901,0.485262,0.407423,0.354400,
12.998600,56,0.076110,0.080454,0.123445,0.192140,0.135212,0.092621,0.127655,0.444778,0.592733,0.233736,0.107384,0.162293,
13.548588,58,0.022804,0.055551,0.065995,0.077578,0.189208,0.235986,0.066644,0.154732,0.288557,0.386281,0.493196,0.076464,
14.048844,57,0.008234,0.055512,0.082966,0.029232,0.218851,0.145308,0.083124,0.443260,0.221045,0.512459,0.209711,0.047794,
14.648080,58,0.024654,0.032548,0.054593,0.108146,0.160518,0.266882,0.318937,0.110749,0.141387,0.257847,0.514591,0.417838,
15.348753,58,0.014384,0.036296,0.070471,0.045715,0.212026,0.324554,0.091995,0.099998,0.112010,0.375608,0.677630,0.099815,
16.148760,60,0.611787,0.044038,0.024313,0.117337,0.137663,0.081026,0.209294,0.060515,0.035731,0.087683,0.153535,0.342256,
16.749165,61,0.263747,0.782365,0.007670,0.027514,0.044776,0.136175,0.058888,0.020627,0.140841,0.014670,0.059247,0.084394,
17.248116,62,0.069526,0.399343,0.687133,0.010853,0.042485,0.077760,0.087522,0.010038,0.056989,0.116771,0.014625,0.041976,
17.849098,63,0.016924,0.080619,0.286617,0.767662,0.009730,0.036449,0.042273,0.077316,0.009926,0.039289,0.103960,0.010187,
18.848145,58,0.021774,0.153706,0.072358,0.086741,0.022080,0.265697,0.042417,0.037190,0.036672,0.159526,0.822168,0.022158,
20.047909,59,0.601876,0.583303,0.516442,0.526448,0.592034,0.461354,0.498624,0.592922,0.642773,0.521598,0.630205,0.626194,
20.898773,63,0.059437,0.079241,0.067012,0.755742,0.321889,0.069402,0.059970,0.159182,0.097149,0.048538,0.176884,0.092737,
21.599625,60,0.669723,0.274525,0.032581,0.130304,0.095424,0.062283,0.023669,0.058120,0.051937,0.007696,0.054178,0.055293,
22.250460,61,0.170053,0.365210,0.593946,0.031728,0.088936,0.078029,0.133145,0.014212,0.052836,0.135174,0.016170,0.038799,
22.798067,58,0.112887,0.159708,0.257807,0.083580,0.115734,0.370696,0.045856,0.015312,0.094447,0.059004,0.747503,0.055721,
23.748821,59,0.033773,0.065493,0.037178,0.459372,0.182100,0.126727,0.489935,0.006732,0.049899,0.151610,0.155428,0.934561,
24.554155,57,0.005252,0.054091,0.028677,0.065335,0.241887,0.025903,0.074366,0.073930,0.086746,0.908631,0.062426,0.116411,
25.747993,55,0.000993,0.002777,0.150493,0.030363,0.025042,0.064653,0.117150,0.968614,0.067171,0.063871,0.007412,0.016723,
27.798460,56,0.416772,0.510126,0.466728,0.528284,0.504212,0.343365,0.426532,0.602039,0.890206,0.417403,0.348038,0.453686,
29.798283,57,0.002176,0.044907,0.021488,0.020181,0.284162,0.037638,0.031339,0.135789,0.080814,0.998659,0.052860,0.017468,
31.898634,55,0.000547,0.001188,0.148829,0.005266,0.005046,0.034568,0.071019,0.998328,0.086220,0.032903,0.000566,0.012252,
34.148514,58,0.019876,0.002429,0.037565,0.008942,0.005632,0.250941,0.051971,0.020593,0.040371,0.086890,0.998880,0.021947,
36.148624,62,0.053255,0.018892,0.997829,0.005901,0.013503,0.002210,0.046528,0.002349,0.002196,0.210133,0.003047,0.011772,
38.299084,59,0.375377,0.556870,0.688255,0.623797,0.720215,0.520379,0.638959,0.408505,0.497019,0.381521,0.355591,0.598706,
40.898499,63,0.002750,0.048355,0.003669,0.999886,0.013629,0.016402,0.000950,0.113933,0.000189,0.000181,0.174812,0.001922,
43.598770,60,0.807211,0.602053,0.579130,0.498932,0.561289,0.534455,0.642097,0.559681,0.532238,0.441037,0.373603,0.486178,
45.747978,61,0.020999,0.999525,0.026088,0.003810,0.002523,0.155689,0.008808,0.013473,0.398953,0.003329,0.018947,0.229265,
48.848465,65,0.349201,0.002164,0.000775,0.014819,0.007840,0.999914,0.026329,0.009179,0.003490,0.592024,0.000168,0.000357,
52.248569,66,0.542178,0.697019,0.637313,0.700349,0.701267,0.613627,0.782728,0.407186,0.539579,0.503418,0.522095,0.640321,
58.048485,62,0.456184,0.579464,0.735453,0.627266,0.615793,0.621250,0.556411,0.433953,0.534656,0.419814,0.446295,0.499291,
61.798130,66,0.002475,0.055045,0.000086,0.000584,0.004569,0.019802,0.999997,0.011113,0.008766,0.001468,0.087602,0.002436,
62.598751,66,0.386566,0.473062,0.600768,0.460468,0.531920,0.542026,0.887744,0.356938,0.430566,0.390798,0.344360,0.400349,
64.798630,65,0.182050,0.117582,0.133317,0.329453,0.370694,0.852975,0.287700,0.214758,0.201553,0.245506,0.220139,0.151837,
