time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
1.248948,49,0.382389,0.473673,0.489873,0.726903,0.872479,0.651674,0.487861,0.641749,0.586631,0.385583,0.305607,0.350887,
12.698848,58,0.314019,0.306978,0.482144,0.579186,0.632927,0.701916,0.625080,0.455012,0.444092,0.449514,0.303816,0.347162,
13.248215,58,0.101249,0.067494,0.117419,0.122827,0.139878,0.297922,0.172621,0.114267,0.108147,0.141251,0.839036,0.389705,
13.749083,60,0.816343,0.417025,0.028023,0.028048,0.107043,0.067424,0.046291,0.224985,0.116731,0.045798,0.215541,0.102253,
16.249151,61,0.287673,0.999777,0.003995,0.018728,0.025281,0.031130,0.017718,0.062474,0.451050,0.004072,0.171478,0.043406,
17.548573,60,0.963295,0.316909,0.013110,0.003931,0.105110,0.005885,0.018589,0.308885,0.087046,0.010037,0.096775,0.010329,
18.198051,60,0.995359,0.133195,0.016786,0.001553,0.089201,0.002871,0.009604,0.242911,0.022979,0.009563,0.051262,0.016146,
18.798422,60,0.999305,0.072497,0.012574,0.000883,0.062336,0.002664,0.006914,0.175885,0.009605,0.008178,0.023630,0.027799,
19.398264,60,0.999898,0.021411,0.006494,0.008297,0.052200,0.003590,0.007765,0.142081,0.011342,0.011973,0.013003,0.148595,
19.999018,59,0.554916,0.011135,0.005164,0.065264,0.018950,0.002157,0.143242,0.103128,0.017710,0.042319,0.020125,0.827407,
25.448875,58,0.435639,0.463936,0.614856,0.493342,0.734678,0.458302,0.473368,0.439894,0.502605,0.459575,0.479504,0.393250,
25.998138,58,0.181420,0.103880,0.224465,0.117205,0.174058,0.303612,0.334943,0.147535,0.133019,0.161156,0.718405,0.115254,
26.649208,73,0.085172,0.834277,0.042653,0.061918,0.030414,0.101535,0.058476,0.028022,0.298392,0.028819,0.207021,0.086122,
27.348309,67,0.311803,0.161355,0.141058,0.009062,0.022780,0.015682,0.075508,0.691041,0.047071,0.017182,0.037463,0.049659,
27.899073,61,0.121856,0.512783,0.397143,0.022970,0.010096,0.017167,0.058093,0.176491,0.072064,0.108791,0.016969,0.117458,
28.499195,71,0.293493,0.148978,0.072540,0.346419,0.003883,0.013038,0.102341,0.046247,0.373820,0.022576,0.010641,0.533793,
29.199179,62,0.111208,0.137007,0.398358,0.105670,0.531381,0.018121,0.047689,0.019739,0.167547,0.227178,0.017743,0.389834,
29.698673,60,0.425355,0.094384,0.205022,0.041768,0.217885,0.117346,0.036171,0.084578,0.066315,0.415941,0.267714,0.120050,
30.398863,68,0.416366,0.162662,0.172616,0.268489,0.051786,0.051293,0.323310,0.060477,0.425243,0.130157,0.362564,0.096163,
31.048882,63,0.092682,0.071190,0.037260,0.894345,0.019367,0.017083,0.043370,0.087593,0.099954,0.018052,0.238323,0.035731,
31.599092,53,0.323670,0.053375,0.118564,0.346302,0.123161,0.633049,0.116693,0.110276,0.071645,0.139767,0.419804,0.063380,
32.198357,53,0.451359,0.097883,0.306940,0.264013,0.335689,0.731497,0.148520,0.288233,0.160631,0.354962,0.479931,0.234870,
32.798862,65,0.515498,0.051121,0.534896,0.148468,0.096712,0.311449,0.100040,0.189147,0.046247,0.488473,0.100212,0.089472,
