Feature,Values
Pitch,71,67,71,71,71,65,65,64,66,64,64,65,65,67,62,67,64,64,64,66,64,64,64,64
Intensity,3,61,63,69,73,36,12,32,66,49,52,71,73,69,68,70,42,50,53,72,50,59,54,50
Duration,4.136458333333334,0.128125,0.03177083333333333,0.036458333333333336,0.9651041666666667,0.10677083333333333,1.4671875,0.8692708333333333,0.058854166666666666,0.046875,0.0375,0.04791666666666666,0.14791666666666667,0.075,0.03229166666666666,0.06927083333333334,3.3973958333333334,0.19739583333333333,0.14895833333333333,0.13333333333333333,0.03229166666666666,0.0375,0.0375,0.03697916666666667
Pitch Entropy,2.252705481927944
Intensity Entropy,4.220175521464346
Duration Entropy,4.303508854797679
