time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
27.049450,65,0.027234,0.040473,0.075101,0.126949,0.092167,0.057992,0.042428,0.034901,0.021629,0.018509,0.025134,0.021667
28.651552,59,0.017910,0.000461,0.001277,0.007054,0.000960,0.000632,0.016455,0.000295,0.001779,0.003565,0.115281,0.990598
28.898705,65,0.038222,0.002403,0.001134,0.003487,0.002796,0.482179,0.054640,0.002874,0.003654,0.007371,0.085650,0.537472
29.150000,59,0.037066,0.003043,0.000833,0.005246,0.004902,0.342392,0.077843,0.007758,0.004637,0.006884,0.136331,0.688738
29.399458,65,0.046325,0.002754,0.000562,0.003288,0.007034,0.617020,0.071802,0.005714,0.004331,0.008124,0.095894,0.424078
29.648893,59,0.044321,0.003197,0.000475,0.003276,0.006646,0.381151,0.077807,0.009618,0.005772,0.010174,0.188340,0.654933
29.848789,65,0.046819,0.003321,0.000634,0.002117,0.008651,0.651726,0.080494,0.008343,0.006102,0.010865,0.126956,0.391705
30.049667,59,0.046053,0.003530,0.000365,0.001937,0.008493,0.443198,0.085795,0.011611,0.006155,0.009255,0.149426,0.598241
30.248533,60,0.403733,0.017007,0.000331,0.001279,0.005173,0.235359,0.047854,0.010310,0.003614,0.005741,0.096154,0.496261
30.400566,54,0.334257,0.037961,0.001571,0.002638,0.006489,0.257684,0.354116,0.031896,0.005258,0.006580,0.070064,0.349118
30.699799,55,0.429330,0.035462,0.012858,0.001958,0.005762,0.123597,0.293656,0.299006,0.040894,0.011808,0.045897,0.266052
30.948895,61,0.290048,0.303931,0.015916,0.005015,0.034434,0.061185,0.147346,0.208637,0.134338,0.245937,0.065370,0.133992
31.202394,57,0.455547,0.233829,0.008571,0.002738,0.024956,0.027868,0.065459,0.095041,0.082361,0.336535,0.069033,0.133794
31.499741,60,0.502079,0.118059,0.010390,0.078950,0.293772,0.016238,0.025476,0.040400,0.046671,0.199943,0.060054,0.085292
31.699903,63,0.350948,0.084743,0.021681,0.459690,0.182359,0.008528,0.013390,0.024481,0.024542,0.105161,0.068000,0.057470
31.898588,69,0.186011,0.047977,0.030637,0.342897,0.114830,0.005138,0.007038,0.013531,0.014591,0.459458,0.084006,0.033462
32.048508,63,0.126617,0.034742,0.030891,0.505930,0.106449,0.004034,0.004625,0.009445,0.010014,0.376980,0.161665,0.043354
33.849087,69,0.024389,0.033414,0.048531,0.071349,0.061973,0.047769,0.039355,0.031752,0.020932,0.020800,0.018875,0.020079
35.497868,59,0.021839,0.000772,0.001284,0.006709,0.000937,0.001422,0.016903,0.000566,0.002089,0.004471,0.122470,0.991206
35.749416,65,0.038651,0.002384,0.001071,0.003289,0.003319,0.515730,0.062925,0.003267,0.003648,0.007077,0.080521,0.503438
36.000797,59,0.036950,0.002958,0.000784,0.005359,0.004507,0.310841,0.072528,0.007158,0.004382,0.006684,0.136292,0.719080
36.248398,65,0.047670,0.002763,0.000530,0.003083,0.008018,0.642308,0.081780,0.006711,0.004537,0.008012,0.090298,0.397556
36.448841,59,0.043181,0.003111,0.000478,0.003295,0.006653,0.398129,0.080381,0.009814,0.005576,0.009655,0.183949,0.639623
36.650684,65,0.047344,0.003504,0.000673,0.002249,0.008174,0.629380,0.076932,0.008516,0.006380,0.011628,0.135939,0.418148
36.848793,59,0.047673,0.003693,0.000381,0.001859,0.009099,0.475843,0.091049,0.012424,0.006541,0.009802,0.152983,0.568050
37.049469,60,0.361073,0.012551,0.000212,0.001325,0.005379,0.249885,0.050048,0.009578,0.003529,0.005658,0.100927,0.514422
