time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
2.899622,45,0.200155,0.143901,0.177637,0.668247,0.540844,0.557540,0.398598,0.326201,0.284712,0.349986,0.438189,0.273238,
3.548739,56,0.609706,0.041272,0.039645,0.282267,0.137940,0.136562,0.094406,0.301349,0.903177,0.129263,0.208634,0.245223,
3.849542,51,0.459034,0.024040,0.036168,0.235151,0.279057,0.435408,0.111655,0.194247,0.586633,0.153387,0.172975,0.128548,
3.999022,49,0.350226,0.282689,0.129875,0.308706,0.213580,0.287257,0.081503,0.130587,0.408147,0.156426,0.247639,0.086348,
4.199254,53,0.252613,0.334759,0.293665,0.423259,0.147554,0.165216,0.058080,0.091140,0.274177,0.264971,0.348687,0.059618,
5.498751,61,0.058229,0.975971,0.043801,0.021039,0.009377,0.071347,0.013699,0.009513,0.101151,0.022763,0.027512,0.028546,
5.698582,58,0.037217,0.736493,0.108521,0.015587,0.006815,0.067243,0.015342,0.006579,0.071343,0.020371,0.308633,0.112584,
5.849574,55,0.026394,0.458707,0.080872,0.011381,0.009048,0.082820,0.020367,0.128588,0.135657,0.050157,0.493541,0.136362,
5.999226,53,0.037472,0.289629,0.089314,0.013936,0.020849,0.177768,0.117116,0.386931,0.128749,0.057636,0.314817,0.190306,
6.249353,51,0.081409,0.142580,0.207076,0.295112,0.156728,0.350822,0.085071,0.181536,0.068106,0.202489,0.399483,0.093625,
6.399081,49,0.297213,0.299808,0.312660,0.317773,0.127182,0.232151,0.068862,0.211768,0.123087,0.312776,0.462697,0.077844,
6.749459,49,0.635718,0.701671,0.132078,0.142067,0.092055,0.100107,0.031496,0.320755,0.391549,0.180174,0.427543,0.055587,
6.899064,51,0.503529,0.783385,0.150623,0.184695,0.079081,0.072888,0.025792,0.227689,0.392289,0.144716,0.386665,0.062216,
7.098810,58,0.270251,0.425685,0.107669,0.275147,0.201469,0.194424,0.073107,0.147017,0.225393,0.128379,0.594069,0.065970,
7.448943,61,0.257545,0.772366,0.049498,0.119581,0.106428,0.146788,0.066337,0.071603,0.182539,0.109139,0.338910,0.068362,
7.649279,55,0.203022,0.717363,0.076675,0.076845,0.076476,0.145009,0.061381,0.046508,0.168618,0.110104,0.419979,0.113704,
8.299708,51,0.069708,0.100233,0.168804,0.667711,0.171184,0.168218,0.045238,0.075558,0.051923,0.114614,0.536311,0.042933,
9.499447,51,0.393770,0.334942,0.296326,0.651839,0.529067,0.591800,0.484259,0.413716,0.549049,0.645399,0.736378,0.515985,
9.698359,49,0.416516,0.615238,0.224084,0.399423,0.323660,0.370364,0.331013,0.347198,0.525323,0.450026,0.560536,0.373620,
9.899710,49,0.373401,0.797954,0.154683,0.244455,0.195783,0.227420,0.191428,0.293523,0.504573,0.250270,0.346568,0.248047,
10.048713,59,0.360739,0.639243,0.117610,0.188943,0.147397,0.161945,0.138123,0.277407,0.636646,0.244302,0.274408,0.189425,
10.699371,61,0.085932,0.919152,0.057664,0.040460,0.024506,0.084656,0.034429,0.053558,0.246659,0.063281,0.066976,0.152977,
10.899261,65,0.061568,0.799924,0.100472,0.239778,0.031958,0.085980,0.022949,0.067779,0.189451,0.055750,0.131915,0.118192,
12.998917,67,0.326104,0.116554,0.134341,0.447445,0.442794,0.474949,0.335602,0.224092,0.206700,0.359507,0.842314,0.536629,
13.198454,65,0.332722,0.144683,0.163740,0.303195,0.335256,0.413555,0.574491,0.354018,0.194516,0.367668,0.584115,0.414361,
13.848965,62,0.135406,0.023374,0.807079,0.127003,0.125829,0.108153,0.142730,0.060924,0.093564,0.204913,0.089209,0.090863,
14.049100,64,0.189676,0.016900,0.705936,0.147197,0.094727,0.289936,0.110367,0.065966,0.075726,0.196004,0.056748,0.054214,
15.948464,60,0.415312,0.133905,0.129916,0.472621,0.631790,0.450851,0.375115,0.303155,0.297933,0.347459,0.639678,0.334240,
16.148794,64,0.345576,0.105733,0.283132,0.312323,0.364156,0.439887,0.364506,0.542193,0.200646,0.324130,0.387690,0.273854,
16.399773,62,0.243612,0.055901,0.516479,0.238792,0.349852,0.285751,0.208669,0.260730,0.137010,0.278185,0.201612,0.201685,
16.599710,64,0.152021,0.036199,0.651294,0.203141,0.196969,0.164228,0.175286,0.340776,0.104426,0.228334,0.115007,0.117585,
17.198668,60,0.732020,0.058098,0.226096,0.055922,0.181387,0.057137,0.064483,0.175165,0.075957,0.083360,0.060266,0.068727,
17.399353,55,0.693369,0.087675,0.132453,0.065985,0.122408,0.035599,0.063174,0.137466,0.053722,0.059769,0.059270,0.277515,
19.299461,52,0.409601,0.234824,0.241534,0.465196,0.599692,0.488880,0.423067,0.505386,0.628258,0.524601,0.638499,0.534028,
19.449404,52,0.397604,0.202023,0.381376,0.485448,0.416561,0.340893,0.353945,0.394070,0.517912,0.645590,0.673489,0.378822,
19.649443,55,0.320384,0.156532,0.359775,0.396862,0.421580,0.339648,0.331653,0.482894,0.414246,0.512557,0.575748,0.428353,
19.848787,50,0.476292,0.244875,0.412269,0.466809,0.371344,0.423247,0.395461,0.531247,0.407158,0.461055,0.559608,0.407345,
20.299530,48,0.701049,0.167537,0.389514,0.323443,0.475055,0.256822,0.239795,0.684432,0.252060,0.297030,0.266024,0.319303,
20.498339,50,0.568228,0.260877,0.539532,0.190825,0.266652,0.138251,0.136545,0.453922,0.179637,0.310057,0.150689,0.219751,
20.699306,51,0.323899,0.203097,0.609933,0.279897,0.155560,0.083191,0.081637,0.246749,0.109616,0.410085,0.302448,0.129336,
20.848619,55,0.239527,0.214219,0.473724,0.384299,0.143120,0.102250,0.133545,0.330676,0.128348,0.317636,0.474436,0.159210,
21.049330,62,0.140189,0.123487,0.362871,0.222080,0.105856,0.133351,0.107628,0.411739,0.233099,0.307151,0.555953,0.212246,
21.248524,67,0.122618,0.096172,0.389216,0.430293,0.125686,0.174032,0.090820,0.286354,0.218755,0.299346,0.518042,0.161791,
22.299095,71,0.380592,0.262055,0.340486,0.574508,0.408591,0.440525,0.313154,0.388489,0.346226,0.469124,0.782025,0.554681,
22.499695,70,0.251753,0.191422,0.284661,0.372894,0.278510,0.342763,0.221728,0.273055,0.238400,0.464913,0.839071,0.354331,
22.998806,67,0.062041,0.060013,0.679690,0.079926,0.079165,0.114388,0.102380,0.750599,0.062311,0.157935,0.301475,0.256744,
23.248522,68,0.167163,0.042390,0.532719,0.391006,0.041377,0.086330,0.067556,0.614995,0.255079,0.110268,0.224469,0.270800,
23.499632,65,0.319855,0.041472,0.423501,0.603099,0.030756,0.252555,0.061649,0.427886,0.360800,0.089408,0.186607,0.373133,
23.749443,67,0.581407,0.024897,0.213040,0.285553,0.040791,0.665659,0.066908,0.259508,0.170136,0.113242,0.101915,0.185813,
23.949221,67,0.334558,0.023977,0.453247,0.158398,0.033732,0.397153,0.076429,0.597745,0.097504,0.152803,0.062629,0.189137,
24.099588,63,0.209167,0.034732,0.473889,0.292223,0.039183,0.259142,0.075711,0.636229,0.070974,0.162230,0.090952,0.162845,
24.299093,63,0.120832,0.045696,0.262879,0.615517,0.039760,0.153954,0.042215,0.401164,0.057029,0.114282,0.153646,0.100562,
24.498470,65,0.160320,0.042261,0.146481,0.583411,0.062598,0.353312,0.027312,0.258363,0.049799,0.093814,0.149391,0.072403,
24.698811,65,0.236184,0.034065,0.096557,0.347061,0.063821,0.660412,0.029863,0.161713,0.047626,0.100092,0.119445,0.058750,
24.949316,62,0.246444,0.021139,0.412319,0.214603,0.064921,0.521362,0.063555,0.081457,0.063126,0.150883,0.076677,0.040467,
25.198696,63,0.136296,0.025683,0.381885,0.516568,0.038600,0.243923,0.056092,0.105322,0.072361,0.149750,0.148563,0.041791,
25.348604,62,0.096908,0.026927,0.336675,0.667996,0.033605,0.163864,0.045134,0.118586,0.064536,0.124610,0.170448,0.043452,
26.799633,58,0.403967,0.193621,0.221122,0.460178,0.430769,0.422375,0.318401,0.286787,0.254892,0.385803,0.970556,0.380946,
27.199062,56,0.631641,0.082443,0.104726,0.257706,0.224124,0.215140,0.237130,0.285567,0.739785,0.242928,0.487507,0.297671,
27.349758,60,0.750417,0.066459,0.079279,0.208381,0.204469,0.163640,0.203416,0.265272,0.608575,0.206177,0.384418,0.230348,
27.548771,65,0.733583,0.068659,0.047348,0.118858,0.146324,0.399479,0.132437,0.182575,0.334823,0.136360,0.230994,0.137784,
