time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
48.850174,67,0.350085,0.264262,0.245241,0.421194,0.372868,0.527204,0.366741,0.475156,0.607382,0.620823,0.789911,0.445044,
49.598869,67,0.048003,0.040104,0.265135,0.109593,0.042048,0.071559,0.092163,0.935347,0.135171,0.098230,0.100264,0.087839,
50.249439,67,0.009347,0.005212,0.199276,0.067195,0.006298,0.056318,0.030712,0.891017,0.343040,0.016405,0.017929,0.058054,
51.048542,68,0.003473,0.000444,0.187327,0.065927,0.000954,0.049341,0.003848,0.816005,0.474051,0.003565,0.002821,0.066697,
51.549683,67,0.001949,0.001093,0.115665,0.021265,0.000468,0.013798,0.074456,0.903395,0.207336,0.005240,0.000951,0.018102,
52.449619,67,0.000427,0.000803,0.204211,0.011217,0.000406,0.013314,0.070703,0.994399,0.055352,0.005882,0.001233,0.030021,
53.049835,67,0.003588,0.000311,0.191550,0.038948,0.002726,0.043628,0.029297,0.945834,0.338974,0.002621,0.001026,0.064872,
53.751221,67,0.003011,0.000234,0.069290,0.034006,0.000301,0.017980,0.034397,0.897564,0.274196,0.006538,0.001152,0.022490,
54.349876,67,0.011326,0.000666,0.136392,0.108815,0.006939,0.042881,0.073989,0.779484,0.511963,0.013506,0.004070,0.040178,
54.898895,68,0.009483,0.000424,0.242885,0.076134,0.001914,0.044211,0.036696,0.914037,0.347291,0.010506,0.001936,0.076147,
56.648773,67,0.004294,0.003317,0.305178,0.059412,0.001957,0.045157,0.091368,0.996230,0.173696,0.023784,0.005911,0.053313,
57.949806,68,0.516211,0.202940,0.232868,0.620644,0.419614,0.512117,0.386210,0.510990,0.553711,0.576676,0.738119,0.512611,
58.449032,68,0.161179,0.059433,0.334104,0.286840,0.105227,0.141732,0.151846,0.752457,0.383668,0.187744,0.240532,0.179426,
59.149654,68,0.032227,0.008471,0.046750,0.135780,0.100665,0.019584,0.024790,0.228395,0.875405,0.613757,0.027196,0.024112,
60.148552,69,0.007193,0.002766,0.001924,0.038255,0.084040,0.000806,0.001033,0.009402,0.609934,0.981927,0.001126,0.000993,
60.846302,69,0.008030,0.003467,0.004192,0.028746,0.066469,0.000305,0.001899,0.125748,0.535852,0.924740,0.003365,0.004400,
61.899311,69,0.011680,0.005682,0.002566,0.026920,0.071602,0.000391,0.000699,0.068729,0.506614,0.956936,0.000911,0.002119,
62.649536,67,0.002767,0.000864,0.055548,0.012582,0.010517,0.021982,0.008511,0.871123,0.232157,0.145045,0.001787,0.032259,
64.499870,67,0.002985,0.000015,0.032278,0.014668,0.000106,0.003145,0.000513,0.995717,0.487259,0.000499,0.000055,0.043832,
66.299629,68,0.182902,0.126766,0.122770,0.436476,0.533748,0.605413,0.480066,0.522860,0.468082,0.337569,0.331787,0.271898,
66.299629,68,0.182902,0.126766,0.122770,0.436476,0.533748,0.605413,0.480066,0.522860,0.468082,0.337569,0.331787,0.271898,
