standard_deviations
File Name;Pitch Standard Deviation;Corpus;Output
impro05-01-audioinfluencer.csv;19.091883092036785;RO;PT
impro05-02-audioinfluencer.csv;26.16295090390226;RO;PT
impro05-03-audioinfluencer.csv;27.577164466275352;RV;PT
impro05-04-audioinfluencer.csv;27.577164466275352;O;DK
impro05-05-audioinfluencer.csv;18.384776310850235;RO;DK
impro05-06-audioinfluencer.csv;23.33452377915607;RV;DK
impro05-07-audioinfluencer.csv;20.506096654409877;RO;PT
impro05-08-audioinfluencer.csv;16.97056274847714;O;PT
impro05-09-audioinfluencer.csv;16.263455967290593;O;PT
impro05-10-audioinfluencer.csv;16.97056274847714;O;DK
impro05-11-audioinfluencer.csv;13.435028842544403;O;PT
impro05-12-audioinfluencer.csv;18.384776310850235;RV;DK
impro05-13-audioinfluencer.csv;17.67766952966369;RO;DK
impro05-14-audioinfluencer.csv;20.506096654409877;RV;DK
impro05-15-audioinfluencer.csv;20.506096654409877;O;DK
impro05-16-audioinfluencer.csv;29.698484809834994;RV;PT
impro05-17-audioinfluencer.csv;30.405591591021544;RV;PT
impro05-18-audioinfluencer.csv;17.67766952966369;RO;DK
