average_pitches
File Name;Average Pitch (Note);Average Pitch (MIDI);Corpus;Output
impro05-01-audioinfluencer.csv;E4;64;RO;PT
impro05-02-audioinfluencer.csv;A#4;70;RO;PT
impro05-03-audioinfluencer.csv;C5;72;RV;PT
impro05-04-audioinfluencer.csv;E4;64;O;DK
impro05-05-audioinfluencer.csv;F#4;66;RO;DK
impro05-06-audioinfluencer.csv;C4;60;RV;DK
impro05-07-audioinfluencer.csv;F#4;66;RO;PT
impro05-08-audioinfluencer.csv;G4;67;O;PT
impro05-09-audioinfluencer.csv;A#4;70;O;PT
impro05-10-audioinfluencer.csv;D4;62;O;DK
impro05-11-audioinfluencer.csv;E4;64;O;PT
impro05-12-audioinfluencer.csv;G4;67;RV;DK
impro05-13-audioinfluencer.csv;G#4;68;RO;DK
impro05-14-audioinfluencer.csv;G#4;68;RV;DK
impro05-15-audioinfluencer.csv;C5;72;O;DK
impro05-16-audioinfluencer.csv;G4;67;RV;PT
impro05-17-audioinfluencer.csv;E5;76;RV;PT
impro05-18-audioinfluencer.csv;A#4;70;RO;DK
