Feature,Values
Pitch,50,53,54,54,54,54,54,54,53,44,57,53,60,53,55,55,54,52
Intensity,11,1,42,42,42,38,38,37,22,44,44,9,7,3,32,1,2,12
Duration,15.422395833333333,18.703645833333333,0.5760416666666667,0.010416666666666666,0.0109375,0.01614583333333333,0.0109375,0.042708333333333334,0.6666666666666666,9.477604166666666,0.0109375,0.03697916666666667,1.5416666666666667,1.3921875,1.3015625,2.517708333333333,0.021354166666666667,0.042708333333333334
Pitch Entropy,2.5226203095310216
Intensity Entropy,3.5724312513221195
Duration Entropy,3.794653473544342
