note_density
File Name;Note Density (notes/second);Corpus;Output
impro03-01-audioinfluencer.csv;1.0823041383163958;O;DK
impro03-02-audioinfluencer.csv;1.9680483150815076;RV;PT
impro03-03-audioinfluencer.csv;1.157030855847625;RO;PT
impro03-04-audioinfluencer.csv;0.5789989855276061;RO;DK
impro03-05-audioinfluencer.csv;1.2076091951665195;O;PT
impro03-06-audioinfluencer.csv;1.2136988180350086;RV;PT
impro03-07-audioinfluencer.csv;1.4397433676226472;O;DK
impro03-08-audioinfluencer.csv;1.2993592020947644;RV;PT
impro03-09-audioinfluencer.csv;1.0080656745916017;O;DK
impro03-10-audioinfluencer.csv;1.041678240869343;O;PT
impro03-11-audioinfluencer.csv;2.808712178972415;RO;PT
impro03-12-audioinfluencer.csv;2.3645978902010705;O;PT
impro03-13-audioinfluencer.csv;1.1899200227293032;RO;PT
impro03-14-audioinfluencer.csv;1.7738039051800707;RV;DK
impro03-15-audioinfluencer.csv;0.4159432143231987;RV;DK
impro03-16-audioinfluencer.csv;1.2266371946636696;RO;DK
impro03-17-audioinfluencer.csv;0.9878514834282327;RV;DK
impro03-18-audioinfluencer.csv;1.5004810522510346;RO;DK
