average_pitches
File Name;Average Pitch (Note);Average Pitch (MIDI);Corpus;Output
impro03-01-audioinfluencer.csv;B3;59;O;DK
impro03-02-audioinfluencer.csv;G#3;56;RV;PT
impro03-03-audioinfluencer.csv;E4;64;RO;PT
impro03-04-audioinfluencer.csv;A3;57;RO;DK
impro03-05-audioinfluencer.csv;F4;65;O;PT
impro03-06-audioinfluencer.csv;F#4;66;RV;PT
impro03-07-audioinfluencer.csv;F#4;66;O;DK
impro03-08-audioinfluencer.csv;A#3;58;RV;PT
impro03-09-audioinfluencer.csv;C4;60;O;DK
impro03-10-audioinfluencer.csv;C4;60;O;PT
impro03-11-audioinfluencer.csv;E4;64;RO;PT
impro03-12-audioinfluencer.csv;G#3;56;O;PT
impro03-13-audioinfluencer.csv;G#3;56;RO;PT
impro03-14-audioinfluencer.csv;E4;64;RV;DK
impro03-15-audioinfluencer.csv;A#3;58;RV;DK
impro03-16-audioinfluencer.csv;A#3;58;RO;DK
impro03-17-audioinfluencer.csv;B3;59;RV;DK
impro03-18-audioinfluencer.csv;G#3;56;RO;DK
