time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
4.396379,45,0.393718,0.432034,0.286584,0.404037,0.414110,0.359576,0.500368,0.596182,0.478649,0.376637,0.236051,0.229954,
5.597228,59,0.068259,0.014756,0.016674,0.046637,0.021701,0.010984,0.023732,0.019713,0.013940,0.009505,0.066894,0.944087,
6.996271,59,0.044107,0.004189,0.001766,0.001860,0.002489,0.001754,0.009518,0.001368,0.002205,0.004600,0.095933,0.994682,
8.300730,59,0.044586,0.004312,0.000792,0.002218,0.000236,0.001045,0.019421,0.001994,0.004528,0.016088,0.144589,0.999915,
9.197237,59,0.052698,0.003350,0.001693,0.004474,0.000715,0.001583,0.027585,0.004441,0.003320,0.012723,0.168060,0.999995,
9.996463,59,0.092710,0.023681,0.007715,0.009665,0.021336,0.039035,0.032711,0.017900,0.021976,0.037464,0.166602,0.948686,
13.447194,61,0.360501,0.354056,0.195636,0.326617,0.305921,0.319864,0.479000,0.600318,0.527667,0.316674,0.282833,0.254221,
15.246666,61,0.234505,0.277322,0.943553,0.244472,0.273592,0.307163,0.353556,0.412537,0.557905,0.135923,0.267915,0.208726,
24.547089,62,0.639307,0.557784,0.483334,0.677878,0.539860,0.287682,0.523522,0.501657,0.328040,0.282765,0.348988,0.426542,
26.096006,60,0.859642,0.118365,0.008032,0.023176,0.016929,0.020032,0.043693,0.034420,0.009479,0.017817,0.037961,0.380547,
26.998945,54,0.098454,0.071310,0.005343,0.006214,0.006366,0.034946,0.901477,0.034502,0.020354,0.004629,0.008490,0.030712,
27.846596,54,0.153556,0.013913,0.026501,0.870098,0.027365,0.054308,0.513474,0.018148,0.149559,0.009258,0.118436,0.009545,
28.597412,54,0.054790,0.044014,0.057110,0.467750,0.039537,0.057553,0.143986,0.055532,0.090168,0.107610,0.845395,0.075407,
29.646049,54,0.159776,0.622869,0.020241,0.169346,0.018062,0.056216,0.014037,0.029343,0.134300,0.115400,0.838682,0.084473,
30.446648,54,0.042163,0.091404,0.209236,0.083187,0.014807,0.062070,0.040678,0.418164,0.358886,0.164248,0.955496,0.090372,
36.196293,63,0.381007,0.535447,0.669519,0.530276,0.341919,0.342116,0.441017,0.481078,0.495005,0.506511,0.670773,0.555263,
37.546478,67,0.345156,0.033240,0.214887,0.366181,0.066337,0.335721,0.166190,0.178595,0.035782,0.038254,0.020743,0.034607,
38.646057,65,0.442748,0.030196,0.358446,0.266377,0.085731,0.468935,0.042412,0.028811,0.024415,0.034003,0.012975,0.020574,
39.395943,66,0.059016,0.036965,0.255867,0.525977,0.039771,0.135584,0.389953,0.039444,0.065904,0.153004,0.015175,0.005187,
44.946304,57,0.337844,0.199301,0.199138,0.275441,0.252313,0.171872,0.420638,0.655471,0.528671,0.417153,0.534036,0.439834,
45.698021,67,0.037510,0.024515,0.069426,0.257618,0.065800,0.031923,0.354557,0.691644,0.148786,0.168897,0.112632,0.053790,
46.494511,65,0.025355,0.025900,0.074132,0.308133,0.121503,0.496335,0.226557,0.101971,0.129865,0.055361,0.014489,0.020181,
47.297424,66,0.003602,0.013139,0.109072,0.371444,0.050367,0.091820,0.548647,0.319048,0.130243,0.029794,0.006679,0.003271,
49.897106,60,0.129790,0.025819,0.006877,0.018974,0.094833,0.109094,0.009205,0.010572,0.346991,0.859039,0.057501,0.053463,
55.246468,63,0.001688,0.001636,0.039256,0.888274,0.041855,0.024516,0.088462,0.046749,0.034819,0.092150,0.012241,0.001964,
58.696724,63,0.469416,0.520296,0.536098,0.486101,0.357776,0.418376,0.418889,0.750399,0.522332,0.401811,0.366419,0.339400,
66.246651,50,0.223014,0.275911,0.295403,0.244451,0.289704,0.320131,0.544857,0.796064,0.570033,0.367030,0.332220,0.183219,
66.246651,50,0.223014,0.275911,0.295403,0.244451,0.289704,0.320131,0.544857,0.796064,0.570033,0.367030,0.332220,0.183219,
66.246651,50,0.223014,0.275911,0.295403,0.244451,0.289704,0.320131,0.544857,0.796064,0.570033,0.367030,0.332220,0.183219,
