time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
5.198728,46,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.347851,81,0.000000,0.062503,0.250011,1.625072,0.250011,0.250011,0.000000,1.625072,0.000000,1.625072,1.750078,0.062503
8.848347,75,0.581131,0.581131,0.096855,0.096855,0.000000,0.581131,0.000000,0.581131,0.581131,0.000000,0.000000,0.000000
12.747965,62,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.597816,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.097986,101,2.106575,1.610910,1.920700,1.858742,1.672868,4.337065,0.061958,1.920700,1.858742,0.371748,1.858742,0.247832
18.098804,101,2.125004,1.625003,1.937503,1.875003,3.312259,4.375008,0.062500,1.937503,1.875003,0.375001,1.875003,0.499963
19.148468,77,0.432390,0.182365,1.807528,0.182365,0.364718,1.868316,0.312531,0.182365,0.182365,0.312531,0.182365,1.625163
21.449812,80,0.000000,0.147623,0.000000,0.147623,0.959546,0.000000,0.959546,0.000000,0.959546,0.000000,0.000000,0.147623
22.099262,102,0.062661,0.250642,0.062661,1.629175,0.202628,0.250642,1.831803,0.062661,1.764260,0.000000,1.754496,0.000000
23.852224,79,0.312500,0.250000,0.250000,0.250000,0.000000,1.625001,1.625001,1.625001,1.625001,0.062500,0.062500,0.062500
26.750439,79,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28.197809,81,0.000000,1.687507,0.250001,1.625006,0.250001,0.062500,0.000000,1.625006,0.250001,1.625006,0.250001,0.062500
29.098806,92,0.062479,1.791222,1.624450,0.500074,1.624450,0.062479,1.624450,0.250158,1.624450,0.416688,0.062479,0.249915
30.198751,79,0.312479,0.304685,0.414087,0.249983,0.164104,1.624891,1.624891,1.624891,1.788995,0.062496,0.062496,0.062496
30.755651,79,0.087167,0.087167,0.087167,0.087167,0.000000,0.523002,0.523002,0.523002,0.523002,0.000000,0.000000,0.000000
33.798584,80,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.182365,0.182365,0.182365,0.182365,0.000000,0.000000
35.701736,44,1.687500,0.000000,0.250000,0.250000,0.062500,0.000000,0.000000,1.625000,1.625000,0.000000,0.000000,0.062500
38.052826,62,0.777232,0.119574,0.777232,0.777232,0.000000,0.000000,0.777232,0.119574,0.000000,0.119574,0.119574,0.000000
39.149307,62,1.624891,0.249983,1.624891,1.749883,0.062496,0.000000,1.687387,0.249983,1.624891,0.249983,0.312479,0.000000
40.398590,74,1.696772,0.000000,1.696772,1.821770,0.062499,0.000000,0.134292,0.249997,1.696772,0.249997,0.249997,0.000000
41.598854,66,0.151127,1.999941,0.312491,0.338621,0.249993,0.312491,3.249903,1.624952,1.963573,1.624952,1.687450,0.062498
44.098370,75,0.581131,0.000000,0.000000,0.581131,0.000000,0.581131,0.000000,0.096855,0.581131,0.000000,0.096855,0.000000
46.798618,74,0.343152,0.000000,0.343152,0.057192,0.000000,0.057192,0.000000,0.057192,0.343152,0.057192,0.343152,0.000000
49.848263,75,0.182365,0.182365,0.000000,0.182365,0.000000,0.182365,0.000000,0.182365,0.182365,0.000000,0.000000,0.000000
