time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2.697636,108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.447599,48,1.626855,0.000000,0.000000,0.062571,0.062571,0.000000,0.250285,0.250285,0.000000,0.000000,0.000000,1.626855
4.097589,23,0.381473,0.000000,0.000000,0.062393,0.000000,0.000000,0.313151,0.063579,0.000000,0.000000,0.000000,1.878904
4.698211,42,0.064644,0.249037,0.000000,0.000000,0.000000,0.000000,1.618738,0.000000,0.000000,0.000000,0.062259,0.535001
5.304816,24,1.629175,0.133449,0.000000,0.000000,0.313303,0.000000,0.424733,0.250642,0.000000,1.629175,0.000000,0.079706
6.703810,26,0.052245,0.062500,1.625006,0.000000,0.250000,0.000000,0.062500,0.000000,0.000000,1.750001,0.000000,0.000000
7.399024,39,0.000000,2.620504,0.443672,1.622217,1.622217,0.311965,0.000000,0.062393,0.499144,0.444826,1.747003,0.249572
8.198137,28,1.623763,0.514336,0.000000,0.308602,0.371054,0.051434,0.000000,0.249810,0.102867,0.000000,0.360035,0.051434
8.805156,51,2.052676,1.629175,0.000000,1.629175,0.062661,0.062661,0.000000,0.383886,0.250642,0.000000,0.250642,0.000000
9.448671,46,0.567912,0.503323,1.684610,0.380627,0.000000,1.747003,1.622217,0.063438,0.063438,0.311965,1.622217,0.000000
9.948520,27,0.185443,1.707876,0.581794,1.610910,0.247832,0.678760,0.581794,0.061958,0.247832,1.707876,0.581794,0.000000
10.648247,51,0.000000,0.379811,0.391822,2.002027,1.622217,0.329429,0.079858,1.684610,0.125695,0.379811,1.747003,0.311965
11.148973,42,0.000000,0.327291,0.096781,0.660147,0.580688,0.096781,1.610910,0.580688,0.000000,0.079459,0.677470,0.096781
11.747770,50,0.062661,1.629175,1.629175,1.754496,0.088562,0.062661,0.484672,0.151222,1.754496,0.250642,0.339204,0.000000
12.251529,38,0.000000,0.522122,1.682711,0.609142,1.634393,0.000000,0.151149,0.000000,0.609142,0.338465,0.087020,0.251445
12.848100,48,1.618738,0.098308,0.717938,0.160568,0.531161,0.000000,0.249037,1.743256,0.098308,0.078150,0.000000,1.618738
13.448677,23,0.469910,0.062259,0.220036,0.062259,0.328496,0.249037,0.327355,0.548228,0.000000,1.618738,1.618738,1.964129
14.048529,26,0.071667,0.000000,1.629175,0.000000,0.070486,0.070486,0.133147,0.071667,0.000000,0.673561,0.422919,0.494586
15.047823,27,0.000000,0.000000,1.624999,1.625163,0.000000,0.000000,0.062500,0.062506,0.000000,0.250000,0.250025,0.000000
16.548922,52,0.062500,0.000000,0.000000,1.624996,1.624996,0.000000,0.000000,0.062500,1.687496,0.000000,0.249999,0.249999
17.097885,51,0.000000,1.634393,0.000000,2.630780,0.523017,0.062861,0.000000,0.125361,0.774462,0.000000,0.501445,0.087170
17.747732,50,1.622217,0.504411,1.622217,0.636119,0.134183,0.000000,1.684610,0.249572,0.135500,0.249572,0.127257,0.000000
18.550602,54,0.308602,1.748668,0.371054,0.000000,1.623763,0.312262,1.829499,0.051434,0.249810,0.051434,1.686215,0.249810
19.399672,39,0.000000,0.250285,0.000000,1.624450,0.250285,0.000000,0.250285,0.062479,0.000000,0.000000,0.416772,0.000000
19.948606,52,0.062861,0.052361,0.000000,1.983150,1.686755,0.000000,0.052361,0.062861,1.697255,0.000000,0.390996,0.251445
20.548134,61,0.000000,1.629175,1.629175,0.504517,0.533797,0.062661,0.062661,0.000000,0.675375,1.754496,0.070789,0.070789
21.100204,40,0.000000,0.523615,0.523615,1.634393,1.634393,0.000000,0.000000,0.062861,0.230102,0.610884,0.251445,0.251445
21.698940,34,0.000000,0.339373,0.151391,0.422012,1.644524,0.250642,1.629175,0.000000,0.062661,0.088731,1.629175,0.320978
22.247662,34,0.062259,1.680997,0.062501,0.328496,0.718946,0.250005,0.469910,0.000000,1.618738,1.618738,1.625032,0.078318
22.748802,63,0.062861,0.524361,0.062861,1.721787,0.185702,0.338614,0.098308,0.062861,2.158755,0.524361,2.283127,0.000000
23.347803,36,1.629175,0.339499,0.000000,0.422012,0.313303,0.070335,1.629175,0.250642,0.510869,1.629175,0.580975,0.000000
24.197645,46,0.249729,0.249916,1.686929,0.000000,0.000000,0.249915,1.790938,0.000000,0.000000,0.499645,1.624450,0.000000
24.998430,51,1.623763,1.623763,0.308790,1.623763,0.062452,0.113917,0.308790,0.312262,0.249810,0.051465,0.558600,0.000000
25.697874,51,0.423501,0.423501,0.062661,0.423501,0.000000,0.250642,0.000000,0.070583,0.070583,0.000000,1.629175,0.000000
26.400999,48,2.627997,0.114888,1.626855,1.626855,0.312857,0.057257,0.062571,0.500571,0.000000,1.626855,0.479315,0.000000
