all_features
File Name;Lowest MIDI;Lowest Note;Highest MIDI;Highest Note;Note Difference;Average MIDI Pitch;Average Note Pitch;Pitch Std Dev;Lowest Velocity;Highest Velocity;Velocity Range;Average Velocity;Velocity Std Dev;Pitch Entropy;Intensity Entropy;Duration Entropy;Note Density;Average Note Distance;Note Time Std Dev;Average Duration;Corpus;Output
impro02-01-audioinfluencer.mid;44;G#2;78;F#5;34;60.724489795918366;C#4;7.016593898979317;51;102;51;81.5204081632653;11.213237383342529;4.372378814700097;4.825383591552373;5.509212941792379;1.5692467854019632;0.643817969072165;0.6224282883842996;0.6372483979591838;RV;DK
impro02-02-audioinfluencer.mid;49;C#3;68;G#4;19;61.59090909090909;D4;4.499706356404707;34;85;51;68.77272727272727;10.025232436819715;3.839922960314994;4.544325652580696;5.232158891364568;0.713128038897893;1.4348837209302325;0.6037760609904219;1.4022727272727273;RO;PT
impro02-03-audioinfluencer.mid;50;D3;59;B3;9;56.492753623188406;G#3;2.0866148914638627;40;78;38;60.55797101449275;6.593536002863071;2.658120343617349;4.378418796360749;5.01288956175368;2.3019495210493766;0.437585299270073;0.17388447366067333;0.43441439130434784;RO;PT
impro02-04-audioinfluencer.mid;45;A2;87;D#6;42;65.33333333333333;F4;9.746794344808963;4;100;96;85.66666666666667;14.370669053048925;4.614605773786197;4.436368710490014;5.350140637716949;1.03025219461706;0.9862915483870968;0.521892727114248;0.9706361269841269;RV;DK
impro02-05-audioinfluencer.mid;44;G#2;76;E5;32;60.92307692307692;C#4;9.153060394690916;11;98;87;79.92307692307692;14.583383225884086;4.536721404819437;4.869422626449879;6.256907988721716;1.9813462180673036;0.509058275862069;0.6627543751169787;0.5047073504273504;RV;PT
impro02-06-audioinfluencer.mid;47;B2;63;D#4;16;53.80555555555556;F#3;5.268881390875212;32;92;60;67.47222222222223;17.324608610068612;2.430942808827652;4.474937501201925;5.003258334775643;0.5806501249123581;1.7714134285714287;0.8814707430034107;1.7222075000000001;O;PT
impro02-07-audioinfluencer.mid;53;F3;67;G4;14;61.24324324324324;C#4;3.8543294949778044;45;81;36;64.10810810810811;9.332689810504744;3.127411137530102;4.270132081786695;4.844324311457951;0.6445980566135142;1.5944475277777779;0.7386413557865952;1.5513543513513515;O;DK
impro02-08-audioinfluencer.mid;50;D3;72;C5;22;62.24242424242424;D4;5.143037514874484;28;89;61;69.62626262626263;11.433557714550458;4.168280342163491;4.953724585238479;6.057344594997892;1.6417841019080268;0.6153087244897959;0.7411311070064285;0.6090934848484848;RO;DK
impro02-09-audioinfluencer.mid;54;F#3;67;G4;13;60.57;C#4;2.6524431276569427;33;91;58;72.3;8.365996592749664;3.1756150939257486;4.579499661215576;5.23675484497108;1.6460888550204278;0.6136369898989898;0.22345732582324646;0.60750062;O;PT
impro02-10-audioinfluencer.mid;46;A#2;74;D5;28;62.15151515151515;D4;6.173908574036525;51;94;43;76.7030303030303;8.727042525911978;3.390270275564012;4.837915322489177;6.0244313400561085;2.7989973346929564;0.3594492743902439;0.3124817711677996;0.3572707939393939;O;PT
impro02-11-audioinfluencer.mid;55;G3;62;D4;7;57.972972972972975;A#3;1.2798977061226957;41;87;46;70.62162162162163;10.258739773565843;0.7025645142191264;4.262979041070738;4.86472667638129;0.627648272829001;1.6375059444444444;1.1146662426378384;1.5932490270270272;RO;DK
impro02-12-audioinfluencer.mid;49;C#3;73;C#5;24;63.5968992248062;E4;5.621553638459525;2;95;93;74.94573643410853;12.594834058503523;3.9303819751344258;5.028431667641382;5.640033194402929;2.0140121224482526;0.5004004140625;0.4947075714526897;0.49652134108527135;RV;DK
impro02-13-audioinfluencer.mid;54;F#3;64;E4;10;58.883720930232556;B3;2.332067367376008;41;80;39;62.44186046511628;10.470599031349856;2.6878570614986983;4.330464394730848;5.286729870981167;0.7107609656491043;1.4404414047619047;0.9943207105044578;1.4069427674418604;O;DK
impro02-14-audioinfluencer.mid;49;C#3;74;D5;25;63.58620689655172;E4;5.234217291185091;14;98;84;79.64827586206897;12.539122684667753;3.954069603782944;4.640513313386611;5.371722863943019;2.3751086776020602;0.42395720833333334;0.4680552550324141;0.4210333655172414;RO;DK
impro02-15-audioinfluencer.mid;50;D3;62;D4;12;54.38636363636363;F#3;3.214906480544486;49;86;37;67.97727272727273;8.004326261505977;3.2326129978018114;4.2998963911678905;4.953416561671607;0.6891109367904066;1.4848927209302327;0.7830922205826166;1.4511451590909092;O;DK
impro02-16-audioinfluencer.mid;44;G#2;75;D#5;31;60.037974683544306;C4;6.984310325100079;3;97;94;78.72151898734177;13.989865112581485;4.068990313404318;4.816147286497714;5.89536729872786;1.296134385838206;0.7814162820512821;1.0390614556373798;0.7715249367088608;RV;PT
impro02-17-audioinfluencer.mid;61;C#4;74;D5;13;69.11764705882354;A4;4.328428596805896;54;89;35;72.94117647058823;9.202381405343498;2.3242764617775697;3.807763576417195;3.969815782426811;0.2707022792606433;3.9249761875000004;1.94185767322139;3.694095235294118;RO;PT
impro02-18-audioinfluencer.mid;55;G3;66;F#4;11;59.73076923076923;C4;3.317320512795739;54;94;40;72.6923076923077;10.676213676277674;3.3346791410515944;3.921029621737614;4.363713275750189;0.4322553102024539;2.40598548;0.8565917626656157;2.3134475769230773;RV;PT
