ambitus
File Name;Lowest Note;Lowest MIDI;Highest Note;Highest MIDI;Ambitus (Note Difference);Corpus;Output
impro01-01-audioinfluencer.csv;D3;50;F5;77;27;RV;DK
impro01-02-audioinfluencer.csv;D#3;51;B4;71;20;RO;DK
impro01-03-audioinfluencer.csv;E3;52;F#4;66;14;O;DK
impro01-04-audioinfluencer.csv;C#3;49;B4;71;22;O;DK
impro01-05-audioinfluencer.csv;C#3;49;C#5;73;24;RV;DK
impro01-06-audioinfluencer.csv;C#3;49;D5;74;25;RO;DK
impro01-07-audioinfluencer.csv;D#3;51;D5;74;23;RO;DK
impro01-08-audioinfluencer.csv;C#3;49;D5;74;25;RV;PT
impro01-09-audioinfluencer.csv;C#3;49;C4;60;11;O;PT
impro01-10-audioinfluencer.csv;B2;47;G#5;80;33;RO;PT
impro01-11-audioinfluencer.csv;F#3;54;C#4;61;7;RV;PT
impro01-12-audioinfluencer.csv;C#3;49;D#5;75;26;RO;PT
impro01-13-audioinfluencer.csv;F3;53;F#8;114;61;O;DK
impro01-14-audioinfluencer.csv;C#3;49;D#5;75;26;O;PT
impro01-15-audioinfluencer.csv;C#3;49;C#5;73;24;RV;PT
impro01-16-audioinfluencer.csv;D#3;51;A4;69;18;RV;DK
impro01-17-audioinfluencer.csv;G3;55;D4;62;7;O;PT
impro01-18-audioinfluencer.csv;A3;57;G#5;80;23;RO;PT
