File Name,Average Pitch (Note),Average Pitch (MIDI)
impro05-01-audioinfluencer.csv,E4,64
impro05-02-audioinfluencer.csv,A#4,70
impro05-03-audioinfluencer.csv,C5,72
impro05-04-audioinfluencer.csv,E4,64
impro05-05-audioinfluencer.csv,F#4,66
impro05-06-audioinfluencer.csv,C4,60
impro05-07-audioinfluencer.csv,F#4,66
impro05-08-audioinfluencer.csv,G4,67
impro05-09-audioinfluencer.csv,A#4,70
impro05-10-audioinfluencer.csv,D4,62
impro05-11-audioinfluencer.csv,E4,64
impro05-12-audioinfluencer.csv,G4,67
impro05-13-audioinfluencer.csv,G#4,68
impro05-14-audioinfluencer.csv,G#4,68
impro05-15-audioinfluencer.csv,C5,72
impro05-16-audioinfluencer.csv,G4,67
impro05-17-audioinfluencer.csv,E5,76
impro05-18-audioinfluencer.csv,A#4,70
