time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2.449113,72,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.698984,107,0.000000,0.000000,0.000000,0.000000,0.000000,0.239815,0.239815,0.000000,0.000000,0.000000,1.435734,1.435734
3.050362,89,0.257316,0.000000,0.000000,1.672554,1.672554,1.802822,0.130268,0.064329,0.064329,0.064329,0.781610,0.781610
3.248622,89,0.249037,0.000000,0.000000,1.618738,1.045363,1.618738,0.000000,0.062259,0.000000,0.062259,0.307688,0.307688
3.699643,89,0.249983,0.000000,0.000000,1.624891,0.895852,1.624891,0.000000,0.062496,0.000000,0.062496,0.249983,0.137823
5.598680,99,0.062500,1.625000,0.000000,1.625000,0.250000,0.062500,0.000000,0.062500,1.625000,1.625000,0.250000,0.000000
5.848841,96,1.731996,1.066163,0.000000,1.066163,0.230640,0.000000,0.000000,0.266461,1.066163,1.066163,0.164025,0.000000
5.999794,76,1.134062,0.699509,0.000000,2.246577,1.547068,0.000000,0.000000,0.239408,0.645701,0.645701,0.258333,0.258333
6.198738,77,0.669653,0.381280,0.000000,1.390549,1.136362,1.731996,0.000000,0.000000,0.381280,0.447895,0.174825,0.174825
6.899479,98,0.334311,0.052335,1.622217,0.268304,0.215970,1.883842,0.062393,0.000000,0.052335,0.301907,0.000000,0.000000
6.949327,96,1.527778,0.000000,2.241948,0.174935,1.719401,1.676086,0.131314,0.300000,0.075000,0.525257,0.000000,0.300000
7.249082,96,0.991531,0.000000,1.734989,0.055781,1.701916,0.801667,0.063313,0.152543,0.063313,0.253252,0.000000,0.253252
7.552043,89,0.531659,0.000000,0.993918,0.000000,0.965093,1.555641,0.000000,0.072961,0.000000,0.208430,0.000000,0.148476
8.249519,89,0.310113,0.000000,0.183419,1.626855,1.626507,1.625163,0.000000,0.062571,0.062558,0.062506,0.250285,0.250232
10.199429,99,0.062500,1.625000,0.000000,1.625000,0.250000,0.062500,0.000000,0.062500,1.625000,1.625000,0.250000,0.000000
10.348985,78,0.000000,1.184625,0.000000,1.184625,1.600151,0.000000,1.547068,0.000000,1.184625,1.184625,0.246833,0.258333
10.549681,85,0.000000,1.551886,0.000000,2.192769,1.646135,0.061982,1.134062,0.064583,0.678394,0.645701,0.258333,0.253252
11.749352,88,0.000000,0.083379,0.000000,0.085019,1.704107,0.000000,0.050037,0.000000,0.062501,0.000000,0.000000,0.250005
11.998461,84,1.731996,0.000000,0.000000,0.050203,1.066149,0.000000,0.000000,0.266461,0.000000,0.000000,0.000000,0.164023
12.249366,89,1.151470,0.000000,0.059954,0.000000,0.470710,1.555641,0.000000,0.151943,0.000000,0.059954,1.555641,0.078452
13.699687,86,0.000000,0.000000,1.624996,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.249999,0.000000,0.000000
13.801079,86,1.865741,0.000000,1.625001,0.000000,0.071759,0.000000,0.062500,0.287037,0.000000,0.250000,0.000000,0.000000
15.698634,99,0.062500,1.625000,0.000000,1.625000,0.250000,0.062500,0.000000,0.062500,1.625000,1.625000,0.250000,0.000000
15.949389,84,1.731996,1.066163,0.000000,1.066163,0.230640,0.000000,0.000000,0.266461,1.066163,1.066163,0.164025,0.000000
17.148544,88,0.076265,0.000000,0.000000,0.000000,1.625032,0.000000,0.000000,0.000000,0.062501,0.000000,0.000000,0.250005
22.699717,88,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23.498684,92,0.062532,0.000000,1.625825,0.250127,0.000000,0.000000,0.062532,0.000000,1.625825,0.250127,0.000000,0.000000
23.701864,89,0.258333,0.000000,1.184892,0.182291,0.000000,1.547068,0.000000,0.000000,1.184892,0.246874,0.000000,0.000000
23.849478,96,1.547068,0.000000,0.777408,0.119601,0.064583,1.262625,0.000000,0.258333,0.777408,0.119601,0.000000,0.000000
24.899044,97,0.174552,1.625163,0.000000,0.000000,0.250025,0.139023,0.000000,0.000000,0.250025,1.625163,0.000000,0.000000
25.100140,92,0.133222,1.184678,0.000000,0.258333,0.182258,0.000000,0.258333,0.000000,1.600159,1.184678,0.000000,1.547068
25.249733,83,0.000000,0.717477,0.064583,0.194250,0.119580,0.258333,0.194250,0.000000,1.285080,0.777267,1.547068,1.262625
25.898666,79,0.000000,0.164136,0.249572,0.000000,0.000000,0.067731,0.000000,1.622217,0.266629,0.164136,0.406385,0.329022
27.800173,84,1.625000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000
27.948719,84,1.184625,0.064583,0.000000,0.000000,0.258333,0.000000,0.000000,0.182250,0.000000,1.547068,0.000000,0.000000
28.149170,102,0.645701,0.266461,0.000000,0.266461,0.174825,0.000000,1.731996,0.107617,1.731996,1.136362,0.000000,0.000000
28.398676,80,0.445863,0.187583,0.000000,0.445917,0.103232,0.000000,1.219292,0.063547,2.297401,0.671011,0.000000,0.000000
29.598469,88,0.000000,0.000000,0.000000,0.000000,1.624952,0.000000,0.000000,0.000000,0.153721,0.000000,0.000000,0.249993
29.848701,69,0.000000,0.066615,0.000000,0.000000,1.066148,0.000000,0.000000,0.000000,0.000000,1.731996,0.000000,0.164023
30.748974,82,0.000000,0.000000,0.062479,0.000000,0.088628,0.249915,0.000000,0.000000,0.000000,0.257478,1.624450,0.000000
32.449429,93,0.000000,0.062500,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,1.625001,0.000000,0.000000
33.699608,86,0.000000,0.000000,1.624979,0.000000,0.000000,0.000000,0.062499,0.000000,0.000000,0.321786,0.000000,0.000000
35.999088,87,0.000000,0.000000,0.863592,0.863592,0.000000,0.000000,0.000000,0.000000,0.000000,0.132860,0.132860,0.000000
36.399204,88,0.000000,0.000000,0.308837,1.593298,1.593298,0.000000,0.000000,0.061281,0.061281,0.051473,0.245123,0.245123
36.999187,91,0.000000,0.000000,0.301371,0.466634,1.625163,0.000000,0.000000,1.618738,0.062506,0.000000,0.077772,0.312284
38.449440,86,0.000000,0.000000,1.625006,0.000000,0.052337,0.000000,0.062500,0.052245,0.000000,0.250001,0.000000,0.000000
39.200993,91,0.000000,0.000000,0.593438,0.000000,1.626855,0.000000,0.000000,1.626855,0.062571,0.057192,0.000000,0.312857
41.149017,99,0.062500,1.625000,0.000000,1.625000,0.250000,0.062500,0.000000,0.062500,1.625000,1.625000,0.250000,0.000000
41.649014,88,0.000000,0.581131,1.610910,0.581131,1.610910,0.000000,0.061958,0.000000,0.643089,0.828963,0.096855,0.247832
42.549458,85,0.000000,1.625367,0.226443,0.052335,0.226443,0.062514,0.000000,0.000000,0.302391,0.052335,0.000000,0.000000
43.248547,93,0.000000,0.405672,0.000000,0.000000,0.250285,0.000000,0.000000,0.000000,0.057183,1.626855,0.000000,0.000000
44.049500,76,0.249810,0.000000,0.000000,0.000000,1.675262,1.623763,0.000000,0.000000,0.062452,0.308993,0.000000,0.249810
44.248955,66,0.164108,0.266461,0.000000,0.000000,1.066704,1.066704,1.731996,0.000000,0.000000,0.182458,0.066615,0.164108
47.549927,81,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064611,0.000000,0.000000
