MIDI Value,Occurrences
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,2
45,4
46,5
47,6
48,8
49,9
50,10
51,12
52,13
53,14
54,15
55,17
56,17
57,17
58,17
59,17
60,18
61,18
62,18
63,17
64,15
65,14
66,14
67,13
68,10
69,10
70,10
71,10
72,9
73,7
74,7
75,6
76,4
77,2
78,2
79,2
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
