File Name,Lowest Note,Lowest MIDI,Highest Note,Highest MIDI,Ambitus (Note Difference)
impro07-01-audioinfluencer.csv,D#3,51,G#6,92,41
impro07-02-audioinfluencer.csv,A2,45,D5,74,29
impro07-03-audioinfluencer.csv,D#3,51,C6,84,33
impro07-04-audioinfluencer.csv,E3,52,F5,77,25
impro07-05-audioinfluencer.csv,D3,50,C#7,97,47
impro07-06-audioinfluencer.csv,G3,55,A#5,82,27
impro07-07-audioinfluencer.csv,G#2,44,C6,84,40
impro07-08-audioinfluencer.csv,C#3,49,G#4,68,19
impro07-09-audioinfluencer.csv,F3,53,G5,79,26
impro07-10-audioinfluencer.csv,B2,47,G#4,68,21
impro07-11-audioinfluencer.csv,E3,52,A7,105,53
impro07-12-audioinfluencer.csv,D3,50,F5,77,27
impro07-13-audioinfluencer.csv,G3,55,B4,71,16
impro07-14-audioinfluencer.csv,A#3,58,D#5,75,17
impro07-15-audioinfluencer.csv,C4,60,A4,69,9
impro07-16-audioinfluencer.csv,B2,47,D6,86,39
impro07-17-audioinfluencer.csv,E3,52,A#6,94,42
impro07-18-audioinfluencer.csv,F3,53,F5,77,24
