File Name,Note Distribution (per second)
impro07-01-audioinfluencer.csv,"{4: 2, 5: 1, 6: 0, 7: 1, 8: 0, 9: 2, 10: 1, 11: 1, 12: 2, 13: 4, 14: 0, 15: 1, 16: 4, 17: 1, 18: 2, 19: 1, 20: 1, 21: 1, 22: 1, 23: 0, 24: 0, 25: 0, 26: 1, 27: 3, 28: 0, 29: 4, 30: 5, 31: 2, 32: 2, 33: 2, 34: 0, 35: 1, 36: 0, 37: 0, 38: 1, 39: 0, 40: 0, 41: 0, 42: 2, 43: 0, 44: 0, 45: 0, 46: 0, 47: 1, 48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 53: 1, 54: 0, 55: 0, 56: 0, 57: 0, 58: 1, 59: 1, 60: 2, 61: 2, 62: 5, 63: 3}"
impro07-02-audioinfluencer.csv,"{1: 1, 2: 0, 3: 2, 4: 0, 5: 1, 6: 1, 7: 0, 8: 1, 9: 1, 10: 1, 11: 0, 12: 1, 13: 1, 14: 1, 15: 0, 16: 0, 17: 0, 18: 1, 19: 1, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 1, 28: 1, 29: 1, 30: 0, 31: 1, 32: 1, 33: 2, 34: 2, 35: 0, 36: 1, 37: 1, 38: 1, 39: 1, 40: 1, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 53: 0, 54: 0, 55: 1}"
impro07-03-audioinfluencer.csv,"{4: 2, 5: 0, 6: 0, 7: 4, 8: 2, 9: 0, 10: 4, 11: 1, 12: 2, 13: 0, 14: 2, 15: 1, 16: 1, 17: 1, 18: 1, 19: 1, 20: 1, 21: 3, 22: 0, 23: 4, 24: 4, 25: 2, 26: 2, 27: 1, 28: 0, 29: 0, 30: 4, 31: 5, 32: 0, 33: 2, 34: 0, 35: 3, 36: 4, 37: 2, 38: 4, 39: 5, 40: 3, 41: 3, 42: 3, 43: 2, 44: 1, 45: 1}"
impro07-04-audioinfluencer.csv,"{3: 2, 4: 1, 5: 2, 6: 2, 7: 1, 8: 2, 9: 2, 10: 2, 11: 2, 12: 2, 13: 2, 14: 2, 15: 1, 16: 2, 17: 2, 18: 1, 19: 1, 20: 2, 21: 2, 22: 1, 23: 1, 24: 1, 25: 2, 26: 1, 27: 1, 28: 2, 29: 1, 30: 2, 31: 1, 32: 2, 33: 2, 34: 2, 35: 1, 36: 1, 37: 1, 38: 2, 39: 1, 40: 0, 41: 1, 42: 1, 43: 0, 44: 1, 45: 1}"
impro07-05-audioinfluencer.csv,"{5: 2, 6: 1, 7: 0, 8: 0, 9: 2, 10: 0, 11: 0, 12: 1, 13: 3, 14: 3, 15: 1, 16: 3, 17: 2, 18: 4, 19: 0, 20: 2, 21: 1, 22: 0, 23: 5, 24: 3, 25: 1, 26: 3, 27: 2, 28: 2, 29: 4, 30: 3, 31: 5, 32: 5, 33: 6, 34: 5, 35: 6, 36: 6, 37: 5, 38: 6, 39: 5, 40: 4, 41: 1}"
impro07-06-audioinfluencer.csv,"{3: 1, 4: 1, 5: 0, 6: 3, 7: 0, 8: 3, 9: 0, 10: 3, 11: 0, 12: 2, 13: 3, 14: 3, 15: 4, 16: 2, 17: 2, 18: 0, 19: 3, 20: 0, 21: 0, 22: 2, 23: 1, 24: 3, 25: 3, 26: 2, 27: 3, 28: 0, 29: 1, 30: 3, 31: 1, 32: 3, 33: 2, 34: 1, 35: 4, 36: 0, 37: 0, 38: 0, 39: 1, 40: 4, 41: 5, 42: 3, 43: 2, 44: 4, 45: 3, 46: 5, 47: 4, 48: 4, 49: 4, 50: 4, 51: 5, 52: 3, 53: 2, 54: 3, 55: 4, 56: 2, 57: 2, 58: 0, 59: 0, 60: 0, 61: 0, 62: 1, 63: 1}"
impro07-07-audioinfluencer.csv,"{2: 1, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 1, 11: 0, 12: 0, 13: 0, 14: 1, 15: 1, 16: 0, 17: 1, 18: 0, 19: 1, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 2, 28: 1, 29: 1, 30: 2, 31: 0, 32: 1, 33: 1, 34: 1, 35: 1, 36: 0, 37: 2, 38: 1, 39: 0, 40: 0, 41: 1, 42: 2, 43: 2, 44: 1, 45: 1, 46: 1, 47: 2, 48: 1, 49: 1, 50: 0, 51: 0, 52: 2, 53: 2, 54: 2, 55: 1, 56: 2, 57: 2, 58: 1, 59: 1, 60: 1, 61: 1}"
impro07-08-audioinfluencer.csv,"{3: 2, 4: 0, 5: 1, 6: 2, 7: 1, 8: 1, 9: 0, 10: 2, 11: 0, 12: 2, 13: 0, 14: 1, 15: 1, 16: 1, 17: 2, 18: 1, 19: 1, 20: 2, 21: 0, 22: 2, 23: 0, 24: 2, 25: 2, 26: 1, 27: 1, 28: 2, 29: 2, 30: 1, 31: 1, 32: 1, 33: 1, 34: 2, 35: 1, 36: 0, 37: 1, 38: 0, 39: 0, 40: 1, 41: 1, 42: 0, 43: 0, 44: 0, 45: 0, 46: 2, 47: 2}"
impro07-09-audioinfluencer.csv,"{2: 1, 3: 1, 4: 1, 5: 2, 6: 1, 7: 2, 8: 0, 9: 2, 10: 1, 11: 2, 12: 0, 13: 2, 14: 1, 15: 2, 16: 1, 17: 2, 18: 1, 19: 1, 20: 2, 21: 0, 22: 2, 23: 1, 24: 0, 25: 2, 26: 1, 27: 1, 28: 1, 29: 0, 30: 1, 31: 1, 32: 2, 33: 1, 34: 1, 35: 1, 36: 1, 37: 0, 38: 0, 39: 0, 40: 0, 41: 0, 42: 0, 43: 0, 44: 0, 45: 0, 46: 0, 47: 0, 48: 0, 49: 0, 50: 2}"
impro07-10-audioinfluencer.csv,"{3: 1, 4: 1, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 1, 11: 1, 12: 1, 13: 0, 14: 0, 15: 1, 16: 1, 17: 0, 18: 0, 19: 1, 20: 1, 21: 0, 22: 0, 23: 0, 24: 1, 25: 1, 26: 0, 27: 1, 28: 0, 29: 0, 30: 0, 31: 1, 32: 2, 33: 1, 34: 1, 35: 2, 36: 1, 37: 1, 38: 0, 39: 2, 40: 1, 41: 1, 42: 1, 43: 0, 44: 0, 45: 0, 46: 2, 47: 0, 48: 2, 49: 1, 50: 1, 51: 0, 52: 1, 53: 1, 54: 0, 55: 1, 56: 1, 57: 0, 58: 0, 59: 0, 60: 1, 61: 0, 62: 1}"
