File Name,Average Pitch (Note),Average Pitch (MIDI)
impro07-01-audioinfluencer.csv,C5,72
impro07-02-audioinfluencer.csv,C4,60
impro07-03-audioinfluencer.csv,G#4,68
impro07-04-audioinfluencer.csv,E4,64
impro07-05-audioinfluencer.csv,D5,74
impro07-06-audioinfluencer.csv,G#4,68
impro07-07-audioinfluencer.csv,E4,64
impro07-08-audioinfluencer.csv,A#3,58
impro07-09-audioinfluencer.csv,F#4,66
impro07-10-audioinfluencer.csv,A#3,58
impro07-11-audioinfluencer.csv,F#5,78
impro07-12-audioinfluencer.csv,E4,64
impro07-13-audioinfluencer.csv,D#4,63
impro07-14-audioinfluencer.csv,F#4,66
impro07-15-audioinfluencer.csv,E4,64
impro07-16-audioinfluencer.csv,F#4,66
impro07-17-audioinfluencer.csv,C#5,73
impro07-18-audioinfluencer.csv,F4,65
