time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
3.398671,62,0.712441,0.576822,0.504931,0.615675,0.461076,0.412767,0.573347,0.419336,0.478937,0.742454,0.585718,0.725870,
3.749163,65,0.340534,0.246168,0.172321,0.211151,0.160560,0.687123,0.679603,0.144186,0.164173,0.260732,0.200969,0.250072,
3.949418,63,0.215420,0.139614,0.091675,0.481463,0.362512,0.451309,0.390879,0.102105,0.092298,0.141140,0.221121,0.196076,
4.149366,61,0.113985,0.342776,0.432408,0.371653,0.242207,0.251415,0.209363,0.067767,0.093864,0.112910,0.152288,0.112125,
4.348858,65,0.120928,0.272272,0.353607,0.231669,0.144518,0.512095,0.292991,0.039908,0.099506,0.081454,0.080195,0.060067,
4.548648,62,0.098961,0.177356,0.270997,0.505704,0.217308,0.354659,0.186431,0.064460,0.058700,0.048552,0.184916,0.075001,
4.798739,65,0.073294,0.301271,0.441189,0.303127,0.128680,0.421357,0.189538,0.029552,0.076916,0.051867,0.083045,0.034852,
5.048714,62,0.070856,0.223007,0.320548,0.532460,0.173650,0.279856,0.101432,0.053976,0.038651,0.031015,0.165146,0.032277,
5.349275,63,0.095582,0.135120,0.241079,0.532319,0.232174,0.365195,0.215164,0.035642,0.024376,0.019669,0.158269,0.040867,
5.548959,65,0.068886,0.152107,0.361203,0.439756,0.176486,0.397322,0.284133,0.025495,0.016981,0.013481,0.117419,0.032800,
5.749289,62,0.088452,0.114601,0.279376,0.598085,0.280466,0.329513,0.211779,0.037122,0.022838,0.010720,0.188598,0.077732,
5.998279,63,0.045594,0.081951,0.229073,0.462564,0.221336,0.364201,0.413208,0.073285,0.121620,0.014730,0.100332,0.042975,
6.248802,65,0.095673,0.169583,0.384757,0.356772,0.159272,0.416497,0.247625,0.042302,0.070412,0.024950,0.076207,0.044108,
6.448416,61,0.102907,0.207533,0.347725,0.558704,0.144532,0.302788,0.146803,0.070378,0.041497,0.024449,0.149005,0.036783,
6.648788,63,0.160603,0.132299,0.233338,0.530413,0.186211,0.452159,0.117000,0.052489,0.027498,0.032611,0.148985,0.034965,
6.849162,65,0.164773,0.251438,0.284371,0.410368,0.142053,0.474897,0.081934,0.040158,0.064306,0.043250,0.125918,0.043176,
7.048570,61,0.163349,0.280793,0.248484,0.518196,0.141212,0.364130,0.055757,0.052180,0.071935,0.044784,0.168905,0.039900,
7.248912,63,0.216219,0.191676,0.188851,0.500164,0.174623,0.470082,0.062369,0.050943,0.067179,0.054319,0.161856,0.035404,
7.398876,65,0.182432,0.298748,0.293968,0.449171,0.136443,0.447119,0.052037,0.048569,0.123981,0.058384,0.137824,0.032302,
7.598538,63,0.181817,0.253912,0.239240,0.551566,0.127015,0.389265,0.036673,0.076381,0.080917,0.067770,0.193707,0.032587,
7.798765,63,0.231907,0.193935,0.236892,0.452670,0.124497,0.504060,0.040508,0.054144,0.057847,0.084988,0.148322,0.023151,
7.998335,65,0.186850,0.275902,0.305542,0.401111,0.105921,0.469580,0.042976,0.045556,0.076197,0.068193,0.123246,0.024667,
8.149253,61,0.181307,0.302758,0.250346,0.474778,0.151151,0.410906,0.041990,0.043429,0.079200,0.061407,0.138670,0.038863,
8.348701,63,0.223307,0.289604,0.212694,0.394516,0.182873,0.516278,0.037154,0.031263,0.089164,0.073927,0.107749,0.030483,
8.549464,65,0.211886,0.262014,0.304824,0.349573,0.152791,0.526035,0.036344,0.028463,0.055876,0.060460,0.099051,0.031528,
8.699309,61,0.188219,0.333184,0.305051,0.447268,0.184584,0.411661,0.041608,0.038492,0.068382,0.060627,0.131680,0.040263,
8.898279,63,0.207916,0.250107,0.252725,0.485480,0.251572,0.451340,0.045897,0.031936,0.059177,0.056215,0.127435,0.048996,
9.049049,65,0.195425,0.314522,0.357811,0.369961,0.193245,0.481432,0.044533,0.025676,0.063148,0.059516,0.091600,0.039601,
9.248990,63,0.177947,0.346115,0.391580,0.459276,0.273144,0.418016,0.051028,0.024235,0.069551,0.056320,0.111669,0.056709,
9.399212,63,0.226252,0.225487,0.253959,0.484722,0.281582,0.493554,0.057593,0.024299,0.048053,0.061031,0.126281,0.052386,
9.548997,65,0.185611,0.343234,0.308277,0.425376,0.234749,0.470038,0.061477,0.022838,0.102614,0.054114,0.111985,0.049312,
9.748720,62,0.166739,0.245460,0.266141,0.577426,0.174430,0.368366,0.045073,0.056857,0.059509,0.045595,0.164537,0.039760,
9.899174,63,0.235322,0.179806,0.241959,0.468036,0.191051,0.535724,0.063451,0.043847,0.042283,0.060698,0.126800,0.031647,
10.098361,38,0.168422,0.186555,0.320373,0.463236,0.217551,0.491638,0.091168,0.039061,0.031309,0.037238,0.125326,0.040127,
