time,playingmode,timeout,timeoutenable,continuity,outputprobability,cut,timestretch,regionmaskenable,regionmasklow,regionmaskhigh
0.000002,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.045336,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.094671,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.145042,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.194071,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.244221,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.294099,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.344156,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.394648,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.444139,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.494138,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.545527,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.595367,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.644307,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.694482,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.745334,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.794384,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.845142,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.894277,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.947225,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.995267,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
1.044286,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
1.094486,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
1.145281,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
1.195059,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
1.245298,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
1.295029,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
1.344060,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
1.395001,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
1.450318,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
1.494980,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
1.544445,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.308385,0.308385
1.595933,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.308385,0.308385
1.644756,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.308385,0.308385
1.694941,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.277917,0.308385
1.744060,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.040266,0.308385
1.794852,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
1.844350,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
1.896228,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
1.944388,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
1.994068,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
2.044232,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
2.096913,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
2.144511,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
2.193896,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
2.243971,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
2.294816,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
2.344793,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
2.395721,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
2.444078,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
2.494872,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
2.545325,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
2.594301,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.000000,0.308385
2.644110,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
2.694282,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
2.744648,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
2.794953,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
2.845224,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
2.894808,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
2.944670,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
2.995432,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
3.044102,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
3.094283,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
3.145364,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
3.194319,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
3.244924,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
3.294101,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
3.344848,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
3.394205,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
3.444004,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
3.495332,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
3.544038,1,2.000000,1,1.500000,1.000000,0,1.000000,1,0.000000,0.308385
