time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
2.647685,49,0.325586,0.338934,0.420505,0.720043,0.319403,0.311704,0.399930,0.438068,0.433717,0.423128,0.322169,0.354055,
6.747827,67,0.000022,0.000013,0.186732,0.006248,0.000145,0.000137,0.001401,0.999999,0.072054,0.000170,0.000045,0.007192,
9.797747,70,0.006048,0.003598,0.006836,0.004049,0.013701,0.460734,0.042543,0.106071,0.261831,0.018251,0.780754,0.066647,
10.798308,67,0.000577,0.005724,0.268105,0.105106,0.003509,0.029523,0.014059,0.960476,0.398237,0.003812,0.032260,0.010602,
11.349031,67,0.001230,0.011209,0.215093,0.116318,0.034072,0.017289,0.018072,0.992986,0.486329,0.012176,0.006069,0.011972,
12.097819,67,0.000665,0.006101,0.195253,0.096897,0.023467,0.010845,0.007668,0.979088,0.520873,0.008798,0.002053,0.010904,
14.448309,67,0.000680,0.000186,0.323317,0.068863,0.000018,0.000360,0.017109,0.999988,0.250145,0.000038,0.000011,0.032127,
15.798063,70,0.002026,0.000251,0.008182,0.002284,0.003034,0.332052,0.178261,0.024310,0.009617,0.021672,0.980707,0.522998,
17.199732,70,0.000085,0.000003,0.001943,0.000075,0.000084,0.257080,0.065779,0.000287,0.000901,0.008270,0.997207,0.341206,
18.198219,70,0.000117,0.000002,0.003960,0.000032,0.000431,0.275042,0.021425,0.000219,0.000187,0.000766,0.979228,0.169106,
19.597881,70,0.001236,0.000012,0.005992,0.000100,0.001488,0.365956,0.151434,0.000915,0.003935,0.092878,0.953668,0.595412,
20.848408,70,0.002122,0.000178,0.007745,0.000213,0.004481,0.563029,0.173894,0.002075,0.009177,0.051740,0.963357,0.390036,
24.898209,69,0.000004,0.008398,0.000113,0.000160,0.447626,0.094159,0.000011,0.000444,0.009259,0.999997,0.275700,0.000026,
25.547705,69,0.000524,0.003375,0.000835,0.001102,0.277213,0.102110,0.000882,0.009595,0.018514,0.998283,0.446100,0.001368,
27.148056,71,0.483808,0.000152,0.002319,0.003367,0.005544,0.008892,0.111304,0.064289,0.008389,0.015227,0.005351,0.992622,
27.748667,43,0.537395,0.011604,0.076877,0.039879,0.175410,0.370907,0.057544,0.032193,0.010559,0.008067,0.005186,0.537238,
29.147961,74,0.010696,0.067123,0.873856,0.062681,0.148002,0.015617,0.001953,0.002949,0.030046,0.255980,0.012115,0.010066,
31.448299,69,0.000371,0.034832,0.000669,0.003541,0.664887,0.049291,0.001096,0.003378,0.012737,0.999505,0.093902,0.001498,
32.348194,67,0.000499,0.003672,0.512625,0.018410,0.050478,0.009015,0.004452,0.933199,0.045781,0.070412,0.008726,0.109179,
33.848480,67,0.001599,0.008357,0.452809,0.020515,0.003954,0.011505,0.056914,0.999439,0.073747,0.000934,0.003757,0.021567,
